MB,BH,BL,NH,Year
131.0,138.0,89.0,49.0,0
125.0,131.0,92.0,48.0,0
131.0,132.0,99.0,50.0,0
119.0,132.0,96.0,44.0,0
136.0,143.0,100.0,54.0,0
138.0,137.0,89.0,56.0,0
139.0,130.0,108.0,48.0,0
125.0,136.0,93.0,48.0,0
131.0,134.0,102.0,51.0,0
134.0,134.0,99.0,51.0,0
129.0,138.0,95.0,50.0,0
134.0,121.0,95.0,53.0,0
126.0,129.0,109.0,51.0,0
132.0,136.0,100.0,50.0,0
141.0,140.0,100.0,51.0,0
131.0,134.0,97.0,54.0,0
135.0,137.0,103.0,50.0,0
132.0,133.0,93.0,53.0,0
139.0,136.0,96.0,50.0,0
132.0,131.0,101.0,49.0,0
126.0,133.0,102.0,51.0,0
135.0,135.0,103.0,47.0,0
134.0,124.0,93.0,53.0,0
128.0,134.0,103.0,50.0,0
130.0,130.0,104.0,49.0,0
138.0,135.0,100.0,55.0,0
128.0,132.0,93.0,53.0,0
127.0,129.0,106.0,48.0,0
131.0,136.0,114.0,54.0,0
124.0,138.0,101.0,46.0,0
124.0,138.0,101.0,48.0,0
133.0,134.0,97.0,48.0,0
138.0,134.0,98.0,45.0,0
148.0,129.0,104.0,51.0,0
126.0,124.0,95.0,45.0,0
135.0,136.0,98.0,52.0,0
132.0,145.0,100.0,54.0,0
133.0,130.0,102.0,48.0,0
131.0,134.0,96.0,50.0,0
133.0,125.0,94.0,46.0,0
133.0,136.0,103.0,53.0,0
131.0,139.0,98.0,51.0,0
131.0,136.0,99.0,56.0,0
138.0,134.0,98.0,49.0,0
130.0,136.0,104.0,53.0,0
131.0,128.0,98.0,45.0,0
138.0,129.0,107.0,53.0,0
123.0,131.0,101.0,51.0,0
130.0,129.0,105.0,47.0,0
134.0,130.0,93.0,54.0,0
137.0,136.0,106.0,49.0,0
126.0,131.0,100.0,48.0,0
135.0,136.0,97.0,52.0,0
129.0,126.0,91.0,50.0,0
134.0,139.0,101.0,49.0,0
131.0,134.0,90.0,53.0,0
132.0,130.0,104.0,50.0,0
130.0,132.0,93.0,52.0,0
135.0,132.0,98.0,54.0,0
130.0,128.0,101.0,51.0,0
137.0,141.0,96.0,52.0,0
129.0,133.0,93.0,47.0,0
132.0,138.0,87.0,48.0,0
130.0,134.0,106.0,50.0,0
134.0,134.0,96.0,45.0,0
140.0,133.0,98.0,50.0,0
138.0,138.0,95.0,47.0,0
136.0,145.0,99.0,55.0,0
136.0,131.0,92.0,46.0,0
126.0,136.0,95.0,56.0,0
137.0,129.0,100.0,53.0,0
137.0,139.0,97.0,50.0,0
136.0,126.0,101.0,50.0,0
137.0,133.0,90.0,49.0,0
129.0,142.0,104.0,47.0,0
135.0,138.0,102.0,55.0,0
129.0,135.0,92.0,50.0,0
134.0,125.0,90.0,60.0,0
138.0,134.0,96.0,51.0,0
136.0,135.0,94.0,53.0,0
132.0,130.0,91.0,52.0,0
133.0,131.0,100.0,50.0,0
138.0,137.0,94.0,51.0,0
130.0,127.0,99.0,45.0,0
136.0,133.0,91.0,49.0,0
134.0,123.0,95.0,52.0,0
136.0,137.0,101.0,54.0,0
133.0,131.0,96.0,49.0,0
138.0,133.0,100.0,55.0,0
138.0,133.0,91.0,46.0,0
137.0,134.0,107.0,54.0,1
141.0,128.0,95.0,53.0,1
141.0,130.0,87.0,49.0,1
135.0,131.0,99.0,51.0,1
133.0,120.0,91.0,46.0,1
131.0,135.0,90.0,50.0,1
140.0,137.0,94.0,60.0,1
139.0,130.0,90.0,48.0,1
140.0,134.0,90.0,51.0,1
138.0,140.0,100.0,52.0,1
132.0,133.0,90.0,53.0,1
134.0,134.0,97.0,54.0,1
135.0,135.0,99.0,50.0,1
133.0,136.0,95.0,52.0,1
136.0,130.0,99.0,55.0,1
134.0,137.0,93.0,52.0,1
131.0,141.0,99.0,55.0,1
129.0,135.0,95.0,47.0,1
136.0,128.0,93.0,54.0,1
131.0,125.0,88.0,48.0,1
139.0,130.0,94.0,53.0,1
144.0,124.0,86.0,50.0,1
141.0,131.0,97.0,53.0,1
130.0,131.0,98.0,53.0,1
133.0,128.0,92.0,51.0,1
138.0,126.0,97.0,54.0,1
131.0,142.0,95.0,53.0,1
136.0,138.0,94.0,55.0,1
132.0,136.0,92.0,52.0,1
135.0,130.0,100.0,51.0,1
137.0,123.0,91.0,50.0,1
136.0,131.0,95.0,49.0,1
128.0,126.0,91.0,57.0,1
130.0,134.0,92.0,52.0,1
138.0,127.0,86.0,47.0,1
126.0,138.0,101.0,52.0,1
136.0,138.0,97.0,58.0,1
126.0,126.0,92.0,45.0,1
132.0,132.0,99.0,55.0,1
139.0,135.0,92.0,54.0,1
143.0,120.0,95.0,51.0,1
141.0,136.0,101.0,54.0,1
135.0,135.0,95.0,56.0,1
137.0,134.0,93.0,53.0,1
142.0,135.0,96.0,52.0,1
139.0,134.0,95.0,47.0,1
138.0,125.0,99.0,51.0,1
137.0,135.0,96.0,54.0,1
133.0,125.0,92.0,50.0,1
145.0,129.0,89.0,47.0,1
138.0,136.0,92.0,46.0,1
131.0,129.0,97.0,44.0,1
143.0,126.0,88.0,54.0,1
134.0,124.0,91.0,55.0,1
132.0,127.0,97.0,52.0,1
137.0,125.0,85.0,57.0,1
129.0,128.0,81.0,52.0,1
140.0,135.0,103.0,48.0,1
147.0,129.0,87.0,48.0,1
136.0,133.0,97.0,51.0,1
