col_1,col_2,col_3
1,4.4,1
1,3.9,1
1,4.0,0
1,4.0,1
1,3.5,1
1,4.1,1
1,2.3,0
1,4.7,1
1,1.7,0
1,4.9,1
1,1.7,0
1,4.6,1
1,3.4,1
2,4.3,1
2,1.7,0
2,3.9,1
2,3.7,0
2,3.1,0
2,4.0,1
2,1.8,0
2,4.1,1
2,1.8,0
2,3.2,1
2,1.9,0
2,4.6,1
2,2.0,0
3,4.5,1
3,3.9,1
3,4.3,1
3,2.3,0
3,3.8,1
3,1.9,0
3,4.6,1
3,1.8,0
3,4.7,1
3,1.8,0
3,4.6,1
3,1.9,0
3,3.5,1
4,4.0,1
4,3.7,1
4,3.7,0
4,4.3,0
4,3.6,1
4,3.8,1
4,3.8,1
4,3.8,1
4,2.5,0
4,4.5,1
4,4.1,0
4,3.7,1
4,3.8,0
4,3.4,1
5,4.0,0
5,2.3,0
5,4.4,1
5,4.1,1
5,4.3,1
5,3.3,1
5,2.0,0
5,4.3,1
5,2.9,0
5,4.6,1
5,1.9,0
5,3.6,0
5,3.7,1
5,3.7,1
6,1.8,0
6,4.6,1
6,3.5,1
6,4.0,0
6,3.7,1
6,1.7,0
6,4.6,1
6,1.7,0
6,4.0,1
6,1.8,0
6,4.4,1
6,1.9,0
6,4.6,1
6,2.9,1
7,3.5,1
7,2.0,0
7,4.3,1
7,1.8,0
7,4.1,1
7,1.8,0
7,4.7,1
7,4.2,1
7,3.9,1
7,4.3,1
7,1.8,0
7,4.5,1
7,2.0,0
8,4.2,1
8,4.4,1
8,4.1,0
8,4.1,1
8,4.0,1
8,4.1,1
8,2.7,0
8,4.6,1
8,1.9,0
8,4.5,1
8,2.0,0
8,4.8,1
8,4.1,1
16,4.1,1
16,4.2,1
16,4.5,1
16,1.9,0
16,4.7,1
16,2.0,0
16,4.7,1
16,2.5,0
16,4.3,1
16,4.4,1
16,4.4,1
16,4.3,0
16,4.6,1
16,2.1,0
17,4.8,1
17,4.1,0
17,4.0,0
17,4.0,1
17,4.4,1
17,4.1,1
17,4.3,1
17,4.0,0
17,3.9,1
17,3.2,0
17,4.5,1
17,2.2,0
17,4.7,1
17,4.6,1
18,2.2,0
18,4.8,1
18,4.3,1
18,3.8,1
18,4.0,1
18,4.1,1
18,1.8,0
18,4.4,1
18,4.0,1
18,2.2,0
18,5.1,1
18,1.9,0
18,5.0,1
18,4.4,1
19,4.5,1
19,3.8,1
19,4.3,1
19,4.4,1
19,2.2,0
19,4.8,1
19,1.9,0
19,4.7,1
19,1.8,0
19,4.8,1
19,2.0,0
19,4.4,1
19,2.5,0
19,4.3,1
20,4.4,1
20,1.9,0
20,4.7,1
20,4.3,1
20,2.2,0
20,4.7,1
20,2.3,0
20,4.6,1
20,3.3,0
20,4.2,1
20,2.9,0
20,4.6,1
20,3.3,0
20,4.2,1
20,2.6,0
20,4.6,0
21,3.7,1
21,1.8,0
21,4.7,1
21,4.5,1
21,4.5,0
21,4.8,1
21,2.0,0
21,4.8,1
21,1.9,0
21,4.7,1
21,2.0,0
21,5.1,1
21,4.3,1
21,4.8,1
22,3.0,1
22,2.1,0
22,4.6,1
22,4.0,1
22,2.2,0
22,5.1,1
22,2.9,0
22,4.3,1
22,2.1,0
22,4.7,1
22,4.5,0
22,1.7,0
22,4.2,1
22,4.3,1
23,1.7,0
23,4.4,1
23,4.2,1
23,2.2,0
23,4.7,1
23,4.0,0
23,1.8,0
23,4.7,1
23,1.8,0
23,4.5,1
23,2.1,0
23,4.2,1
23,2.1,0
23,5.2,1
23,2.0,0
