MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,class
125.0,256.0,6000.0,256.0,16.0,128.0,1
29.0,8000.0,32000.0,32.0,8.0,32.0,1
29.0,8000.0,32000.0,32.0,8.0,32.0,1
29.0,8000.0,32000.0,32.0,8.0,32.0,1
29.0,8000.0,16000.0,32.0,8.0,16.0,1
26.0,8000.0,32000.0,64.0,8.0,32.0,1
23.0,16000.0,32000.0,64.0,16.0,32.0,1
23.0,16000.0,32000.0,64.0,16.0,32.0,1
23.0,16000.0,64000.0,64.0,16.0,32.0,1
23.0,32000.0,64000.0,128.0,32.0,64.0,1
400.0,1000.0,3000.0,0.0,1.0,2.0,0
400.0,512.0,3500.0,4.0,1.0,6.0,0
60.0,2000.0,8000.0,65.0,1.0,8.0,0
50.0,4000.0,16000.0,65.0,1.0,8.0,1
350.0,64.0,64.0,0.0,1.0,4.0,0
200.0,512.0,16000.0,0.0,4.0,32.0,0
167.0,524.0,2000.0,8.0,4.0,15.0,0
143.0,512.0,5000.0,0.0,7.0,32.0,0
143.0,1000.0,2000.0,0.0,5.0,16.0,0
110.0,5000.0,5000.0,142.0,8.0,64.0,1
143.0,1500.0,6300.0,0.0,5.0,32.0,0
143.0,3100.0,6200.0,0.0,5.0,20.0,0
143.0,2300.0,6200.0,0.0,6.0,64.0,0
110.0,3100.0,6200.0,0.0,6.0,64.0,0
320.0,128.0,6000.0,0.0,1.0,12.0,0
320.0,512.0,2000.0,4.0,1.0,3.0,0
320.0,256.0,6000.0,0.0,1.0,6.0,0
320.0,256.0,3000.0,4.0,1.0,3.0,0
320.0,512.0,5000.0,4.0,1.0,5.0,0
320.0,256.0,5000.0,4.0,1.0,6.0,0
25.0,1310.0,2620.0,131.0,12.0,24.0,1
25.0,1310.0,2620.0,131.0,12.0,24.0,1
50.0,2620.0,10480.0,30.0,12.0,24.0,0
50.0,2620.0,10480.0,30.0,12.0,24.0,0
56.0,5240.0,20970.0,30.0,12.0,24.0,1
64.0,5240.0,20970.0,30.0,12.0,24.0,1
50.0,500.0,2000.0,8.0,1.0,4.0,0
50.0,1000.0,4000.0,8.0,1.0,5.0,0
50.0,2000.0,8000.0,8.0,1.0,5.0,0
50.0,1000.0,4000.0,8.0,3.0,5.0,0
50.0,1000.0,8000.0,8.0,3.0,5.0,0
50.0,2000.0,16000.0,8.0,3.0,5.0,0
50.0,2000.0,16000.0,8.0,3.0,6.0,0
50.0,2000.0,16000.0,8.0,3.0,6.0,0
133.0,1000.0,12000.0,9.0,3.0,12.0,0
133.0,1000.0,8000.0,9.0,3.0,12.0,0
810.0,512.0,512.0,8.0,1.0,1.0,0
810.0,1000.0,5000.0,0.0,1.0,1.0,0
320.0,512.0,8000.0,4.0,1.0,5.0,0
200.0,512.0,8000.0,8.0,1.0,8.0,0
700.0,384.0,8000.0,0.0,1.0,1.0,0
700.0,256.0,2000.0,0.0,1.0,1.0,0
140.0,1000.0,16000.0,16.0,1.0,3.0,1
200.0,1000.0,8000.0,0.0,1.0,2.0,0
110.0,1000.0,4000.0,16.0,1.0,2.0,0
110.0,1000.0,12000.0,16.0,1.0,2.0,0
220.0,1000.0,8000.0,16.0,1.0,2.0,0
800.0,256.0,8000.0,0.0,1.0,4.0,0
800.0,256.0,8000.0,0.0,1.0,4.0,0
800.0,256.0,8000.0,0.0,1.0,4.0,0
800.0,256.0,8000.0,0.0,1.0,4.0,0
800.0,256.0,8000.0,0.0,1.0,4.0,0
125.0,512.0,1000.0,0.0,8.0,20.0,0
75.0,2000.0,8000.0,64.0,1.0,38.0,1
75.0,2000.0,16000.0,64.0,1.0,38.0,1
75.0,2000.0,16000.0,128.0,1.0,38.0,1
90.0,256.0,1000.0,0.0,3.0,10.0,0
105.0,256.0,2000.0,0.0,3.0,10.0,0
105.0,1000.0,4000.0,0.0,3.0,24.0,0
105.0,2000.0,4000.0,8.0,3.0,19.0,0
75.0,2000.0,8000.0,8.0,3.0,24.0,0
75.0,3000.0,8000.0,8.0,3.0,48.0,0
175.0,256.0,2000.0,0.0,3.0,24.0,0
300.0,768.0,3000.0,0.0,6.0,24.0,0
300.0,768.0,3000.0,6.0,6.0,24.0,0
300.0,768.0,12000.0,6.0,6.0,24.0,0
300.0,768.0,4500.0,0.0,1.0,24.0,0
300.0,384.0,12000.0,6.0,1.0,24.0,0
300.0,192.0,768.0,6.0,6.0,24.0,0
180.0,768.0,12000.0,6.0,1.0,31.0,0
330.0,1000.0,3000.0,0.0,2.0,4.0,0
300.0,1000.0,4000.0,8.0,3.0,64.0,0
300.0,1000.0,16000.0,8.0,2.0,112.0,0
330.0,1000.0,2000.0,0.0,1.0,2.0,0
330.0,1000.0,4000.0,0.0,3.0,6.0,0
140.0,2000.0,4000.0,0.0,3.0,6.0,0
140.0,2000.0,4000.0,0.0,4.0,8.0,0
140.0,2000.0,4000.0,8.0,1.0,20.0,0
140.0,2000.0,32000.0,32.0,1.0,20.0,1
140.0,2000.0,8000.0,32.0,1.0,54.0,0
140.0,2000.0,32000.0,32.0,1.0,54.0,1
140.0,2000.0,32000.0,32.0,1.0,54.0,1
140.0,2000.0,4000.0,8.0,1.0,20.0,0
57.0,4000.0,16000.0,1.0,6.0,12.0,1
57.0,4000.0,24000.0,64.0,12.0,16.0,1
26.0,16000.0,32000.0,64.0,16.0,24.0,1
26.0,16000.0,32000.0,64.0,8.0,24.0,1
26.0,8000.0,32000.0,0.0,8.0,24.0,1
26.0,8000.0,16000.0,0.0,8.0,16.0,1
480.0,96.0,512.0,0.0,1.0,1.0,0
203.0,1000.0,2000.0,0.0,1.0,5.0,0
115.0,512.0,6000.0,16.0,1.0,6.0,0
1100.0,512.0,1500.0,0.0,1.0,1.0,0
1100.0,768.0,2000.0,0.0,1.0,1.0,0
600.0,768.0,2000.0,0.0,1.0,1.0,0
400.0,2000.0,4000.0,0.0,1.0,1.0,0
400.0,4000.0,8000.0,0.0,1.0,1.0,0
900.0,1000.0,1000.0,0.0,1.0,2.0,0
900.0,512.0,1000.0,0.0,1.0,2.0,0
900.0,1000.0,4000.0,4.0,1.0,2.0,0
900.0,1000.0,4000.0,8.0,1.0,2.0,0
900.0,2000.0,4000.0,0.0,3.0,6.0,0
225.0,2000.0,4000.0,8.0,3.0,6.0,0
225.0,2000.0,4000.0,8.0,3.0,6.0,0
180.0,2000.0,8000.0,8.0,1.0,6.0,0
185.0,2000.0,16000.0,16.0,1.0,6.0,0
180.0,2000.0,16000.0,16.0,1.0,6.0,0
225.0,1000.0,4000.0,2.0,3.0,6.0,0
25.0,2000.0,12000.0,8.0,1.0,4.0,0
25.0,2000.0,12000.0,16.0,3.0,5.0,0
17.0,4000.0,16000.0,8.0,6.0,12.0,0
17.0,4000.0,16000.0,32.0,6.0,12.0,1
1500.0,768.0,1000.0,0.0,0.0,0.0,0
1500.0,768.0,2000.0,0.0,0.0,0.0,0
800.0,768.0,2000.0,0.0,0.0,0.0,0
50.0,2000.0,4000.0,0.0,3.0,6.0,0
50.0,2000.0,8000.0,8.0,3.0,6.0,0
50.0,2000.0,8000.0,8.0,1.0,6.0,0
50.0,2000.0,16000.0,24.0,1.0,6.0,0
50.0,2000.0,16000.0,24.0,1.0,6.0,0
50.0,8000.0,16000.0,48.0,1.0,10.0,1
100.0,1000.0,8000.0,0.0,2.0,6.0,0
100.0,1000.0,8000.0,24.0,2.0,6.0,0
100.0,1000.0,8000.0,24.0,3.0,6.0,0
50.0,2000.0,16000.0,12.0,3.0,16.0,0
50.0,2000.0,16000.0,24.0,6.0,16.0,0
50.0,2000.0,16000.0,24.0,6.0,16.0,0
150.0,512.0,4000.0,0.0,8.0,128.0,0
115.0,2000.0,8000.0,16.0,1.0,3.0,0
115.0,2000.0,4000.0,2.0,1.0,5.0,0
92.0,2000.0,8000.0,32.0,1.0,6.0,0
92.0,2000.0,8000.0,32.0,1.0,6.0,0
92.0,2000.0,8000.0,4.0,1.0,6.0,0
75.0,4000.0,16000.0,16.0,1.0,6.0,0
60.0,4000.0,16000.0,32.0,1.0,6.0,0
60.0,2000.0,16000.0,64.0,5.0,8.0,0
60.0,4000.0,16000.0,64.0,5.0,8.0,0
50.0,4000.0,16000.0,64.0,5.0,10.0,1
72.0,4000.0,16000.0,64.0,8.0,16.0,1
72.0,2000.0,8000.0,16.0,6.0,8.0,0
40.0,8000.0,16000.0,32.0,8.0,16.0,1
40.0,8000.0,32000.0,64.0,8.0,24.0,1
35.0,8000.0,32000.0,64.0,8.0,24.0,1
38.0,16000.0,32000.0,128.0,16.0,32.0,1
48.0,4000.0,24000.0,32.0,8.0,24.0,1
38.0,8000.0,32000.0,64.0,8.0,24.0,1
30.0,16000.0,32000.0,256.0,16.0,24.0,1
112.0,1000.0,1000.0,0.0,1.0,4.0,0
84.0,1000.0,2000.0,0.0,1.0,6.0,0
56.0,1000.0,4000.0,0.0,1.0,6.0,0
56.0,2000.0,6000.0,0.0,1.0,8.0,0
56.0,2000.0,8000.0,0.0,1.0,8.0,0
56.0,4000.0,8000.0,0.0,1.0,8.0,0
56.0,4000.0,12000.0,0.0,1.0,8.0,0
56.0,4000.0,16000.0,0.0,1.0,8.0,0
38.0,4000.0,8000.0,32.0,16.0,32.0,0
38.0,4000.0,8000.0,32.0,16.0,32.0,1
38.0,8000.0,16000.0,64.0,4.0,8.0,0
38.0,8000.0,24000.0,160.0,4.0,8.0,1
38.0,4000.0,16000.0,128.0,16.0,32.0,1
200.0,1000.0,2000.0,0.0,1.0,2.0,0
200.0,1000.0,4000.0,0.0,1.0,4.0,0
200.0,2000.0,8000.0,64.0,1.0,5.0,0
250.0,512.0,4000.0,0.0,1.0,7.0,0
250.0,512.0,4000.0,0.0,4.0,7.0,0
250.0,1000.0,16000.0,1.0,1.0,8.0,0
160.0,512.0,4000.0,2.0,1.0,5.0,0
160.0,512.0,2000.0,2.0,3.0,8.0,0
160.0,1000.0,4000.0,8.0,1.0,14.0,0
160.0,1000.0,8000.0,16.0,1.0,14.0,0
160.0,2000.0,8000.0,32.0,1.0,13.0,1
240.0,512.0,1000.0,8.0,1.0,3.0,0
240.0,512.0,2000.0,8.0,1.0,5.0,0
105.0,2000.0,4000.0,8.0,3.0,8.0,0
105.0,2000.0,6000.0,16.0,6.0,16.0,0
105.0,2000.0,8000.0,16.0,4.0,14.0,0
52.0,4000.0,16000.0,32.0,4.0,12.0,1
70.0,4000.0,12000.0,8.0,6.0,8.0,0
59.0,4000.0,12000.0,32.0,6.0,12.0,1
59.0,8000.0,16000.0,64.0,12.0,24.0,1
26.0,8000.0,24000.0,32.0,8.0,16.0,1
26.0,8000.0,32000.0,64.0,12.0,16.0,1
26.0,8000.0,32000.0,128.0,24.0,32.0,1
116.0,2000.0,8000.0,32.0,5.0,28.0,0
50.0,2000.0,32000.0,24.0,6.0,26.0,1
50.0,2000.0,32000.0,48.0,26.0,52.0,1
50.0,2000.0,32000.0,112.0,52.0,104.0,1
50.0,4000.0,32000.0,112.0,52.0,104.0,1
30.0,8000.0,64000.0,96.0,12.0,176.0,1
30.0,8000.0,64000.0,128.0,12.0,176.0,1
180.0,262.0,4000.0,0.0,1.0,3.0,0
180.0,512.0,4000.0,0.0,1.0,3.0,0
180.0,262.0,4000.0,0.0,1.0,3.0,0
180.0,512.0,4000.0,0.0,1.0,3.0,0
124.0,1000.0,8000.0,0.0,1.0,8.0,0
98.0,1000.0,8000.0,32.0,2.0,8.0,0
125.0,2000.0,8000.0,0.0,2.0,14.0,0
480.0,512.0,8000.0,32.0,0.0,0.0,0
480.0,1000.0,4000.0,0.0,0.0,0.0,0
