col_1,col_2,col_3,col_4,col_5,col_6
36.7,-62.8,-89.5,54.1,1.7,0
24.0,3.3,-3.5,20.9,1.1,0
-61.6,-120.8,-103.2,24.7,2.5,0
-1.0,-18.1,-28.8,36.2,1.1,0
18.9,-3.8,-50.6,26.4,0.9,0
-57.2,-61.2,-56.2,11.0,1.7,0
3.0,-20.3,-17.4,8.0,1.0,0
-5.1,-194.5,-25.8,6.5,0.5,0
17.9,20.8,-4.3,22.6,1.0,0
5.4,-106.1,-22.9,23.8,1.5,0
23.0,-39.4,-35.7,69.1,1.2,0
-67.6,-164.1,-17.7,8.7,1.3,0
-185.1,-308.9,-65.8,35.7,0.8,0
13.5,7.2,-22.6,96.1,2.0,0
-5.7,-118.3,-34.2,21.7,1.5,0
72.4,-185.9,-280.0,12.5,6.7,0
17.0,-34.6,-19.4,35.5,3.4,0
-31.2,-27.9,6.3,7.0,1.3,0
14.1,-48.2,6.8,16.6,1.6,0
-60.6,-49.2,-17.2,7.2,0.3,0
26.2,-19.2,-36.7,90.4,0.8,0
7.0,-18.1,-6.5,16.5,0.9,0
-53.1,-98.0,-20.8,26.6,1.7,0
-17.2,-129.0,-14.2,267.9,1.3,0
32.7,-4.0,-15.8,177.4,2.1,0
26.7,-8.7,-36.3,32.5,2.8,0
-7.7,-59.2,-12.8,21.3,2.1,0
18.0,-13.1,-17.6,14.6,0.9,0
2.03,-38.0,1.6,7.7,1.2,0
-35.3,-57.9,0.7,13.7,0.8,0
5.1,-8.8,-9.1,100.9,0.9,0
0.01,-64.7,-4.0,0.7,0.1,0
25.2,-11.4,4.8,7.0,0.9,0
35.2,43.0,16.4,99.1,1.3,1
38.8,47.0,16.0,126.5,1.9,1
14.0,-3.3,4.0,91.7,2.7,1
55.1,35.0,20.8,72.3,1.9,1
59.3,46.7,12.6,724.1,0.9,1
33.6,20.8,12.5,152.8,2.4,1
52.8,33.0,23.6,475.9,1.5,1
45.6,26.1,10.4,287.9,2.1,1
47.4,68.6,13.8,581.3,1.6,1
40.0,37.3,33.4,228.8,3.5,1
69.0,59.0,23.1,406.0,5.5,1
34.2,49.6,23.8,126.6,1.9,1
47.0,12.5,7.0,53.4,1.8,1
15.4,37.3,34.1,570.1,1.5,1
56.9,35.3,4.2,240.3,0.9,1
43.8,49.5,25.1,115.0,2.6,1
20.7,18.1,13.5,63.1,4.0,1
33.8,31.4,15.7,144.8,1.9,1
35.3,21.5,-14.4,90.0,1.0,1
24.4,8.5,5.8,149.1,1.5,1
48.9,40.6,5.8,82.0,1.8,1
49.9,34.6,26.4,310.0,1.8,1
54.8,19.9,26.7,239.9,2.3,1
39.0,17.4,12.6,60.5,1.3,1
53.0,54.7,14.6,771.7,1.7,1
20.1,53.5,20.6,307.5,1.1,1
53.7,35.9,26.4,289.5,2.0,1
46.1,39.4,30.5,700.0,1.9,1
48.3,53.1,7.1,164.4,1.9,1
46.7,39.8,13.8,229.1,1.2,1
60.3,59.5,7.0,226.6,2.0,1
17.9,16.3,20.4,105.6,1.0,1
24.7,21.7,-7.8,118.6,1.6,1
