col_1,col_2,col_3
50,5,1
40,5,1
30,5,1
20,5,1
10,5,1
0,5,1
-10,5,1
-20,5,1
-30,5,1
-40,5,1
-50,5,0
-60,5,0
50,10,1
40,10,1
30,10,1
20,10,1
10,10,1
0,10,1
-10,10,1
-20,10,1
-30,10,0
-40,10,0
-50,10,0
-60,10,0
50,15,1
40,15,1
30,15,1
20,15,1
10,15,1
0,15,1
-10,15,1
-20,15,0
-30,15,0
-40,15,0
-50,15,0
-60,15,0
50,20,1
40,20,1
30,20,1
20,20,1
10,20,1
0,20,1
-10,20,0
-20,20,0
-30,20,0
-40,20,0
-50,20,0
-60,20,0
50,25,1
40,25,1
30,25,1
20,25,1
10,25,1
0,25,1
-10,25,0
-20,25,0
-30,25,0
-40,25,0
-50,25,0
-60,25,0
50,30,1
40,30,1
30,30,1
20,30,1
10,30,1
0,30,1
-10,30,0
-20,30,0
-30,30,0
-40,30,0
-50,30,0
-60,30,0
50,35,1
40,35,1
30,35,1
20,35,1
10,35,1
0,35,0
-10,35,0
-20,35,0
-30,35,0
-40,35,0
-50,35,0
-60,35,0
50,40,1
40,40,1
30,40,1
20,40,1
10,40,1
0,40,0
-10,40,0
-20,40,0
-30,40,0
-40,40,0
-50,40,0
-60,40,0
50,45,1
40,45,1
30,45,1
20,45,1
10,45,1
0,45,0
-10,45,0
-20,45,0
-30,45,0
-40,45,0
-50,45,0
-60,45,0
50,50,1
40,50,1
30,50,1
20,50,1
10,50,1
0,50,0
-10,50,0
-20,50,0
-30,50,0
-40,50,0
-50,50,0
-60,50,0
