FMED,TMIQ,Age2IQ,Age4IQ,Age8IQ,Age13IQ
10,100,120,115,109,0
10,71,131,109,113,0
14,89,126,115,113,0
7,73,120,102,111,1
14,64,126,125,114,0
8,64,125,109,96,0
13,104,105,107,106,0
16,76,130,112,124,1
10,81,107,120,109,1
8,78,104,108,125,1
14,79,120,117,114,1
12,128,120,128,148,1
9,65,114,102,112,1
12,71,122,100,128,1
17,75,119,101,102,0
13,109,102,107,113,1
14,88,133,121,115,0
14,90,95,89,115,0
15,96,82,106,105,0
9,95,136,115,118,0
15,80,104,107,107,0
13,102,119,103,101,0
6,92,116,121,119,1
12,88,90,94,95,0
12,100,104,114,104,0
14,91,99,102,128,1
14,70,135,112,118,1
15,84,125,108,116,0
13,78,102,90,99,0
13,78,108,90,86,0
16,87,113,97,101,1
15,63,127,121,119,0
10,67,116,113,113,0
15,83,101,93,99,0
16,109,99,126,139,1
13,54,117,114,119,0
9,66,105,109,90,0
13,109,112,113,125,1
12,88,114,138,124,1
8,95,140,130,126,1
13,92,120,113,114,1
15,65,110,111,114,0
8,63,110,113,107,0
19,113,128,112,114,1
4,110,116,92,105,0
10,105,125,111,129,1
16,96,128,139,118,1
12,78,138,125,139,1
14,67,109,92,87,0
16,80,109,112,127,1
12,53,81,87,80,0
13,74,121,132,132,1
12,91,120,105,131,1
12,98,142,135,147,1
13,109,128,145,125,1
14,92,115,113,113,1
11,91,105,130,115,1
11,88,112,107,110,0
13,99,117,112,109,0
10,90,122,127,129,1
15,104,108,124,116,1
8,88,122,112,119,0
