counts,age,coverstorey,coverregen,meanregen,coniferous,deadtree,cbpiles,ivytree,fdist
0.0,120.0,80.0,60.0,7.0,20.0,0.0,4.0,0.0,0
0.0,120.0,70.0,90.0,3.0,25.0,1.0,2.0,0.0,0
0.0,120.0,90.0,70.0,6.0,40.0,0.0,7.0,0.0,0
0.0,120.0,90.0,20.0,7.0,5.0,0.0,11.0,0.0,0
0.0,120.0,90.0,20.0,4.0,1.0,0.0,11.0,0.0,0
2.0,200.0,80.0,80.0,5.0,0.0,1.0,3.0,0.0,0
0.0,200.0,70.0,90.0,5.0,0.0,0.0,1.0,0.0,0
0.0,200.0,75.0,60.0,5.0,0.0,0.0,2.0,0.0,0
0.0,120.0,90.0,20.0,4.0,0.0,0.0,9.0,9.0,0
0.0,200.0,55.0,100.0,9.0,1.0,0.0,2.0,0.0,0
0.0,200.0,60.0,100.0,7.0,0.0,0.0,2.0,0.0,0
0.0,200.0,65.0,100.0,7.0,0.0,1.0,2.0,0.0,0
0.0,200.0,80.0,100.0,6.0,0.0,0.0,1.0,0.0,0
0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,200.0,110.0,0.0,0.0,0.0,1.0,1.0,0.0,1
0.0,200.0,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1
0.0,200.0,110.0,0.0,0.0,0.0,0.0,2.0,0.0,1
0.0,200.0,110.0,0.0,0.0,0.0,2.0,0.0,0.0,1
0.0,200.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,200.0,90.0,0.0,0.0,0.0,2.0,3.0,0.0,1
0.0,200.0,100.0,0.0,0.0,1.0,2.0,1.0,0.0,1
0.0,200.0,110.0,0.0,0.0,0.0,1.0,1.0,0.0,1
0.0,200.0,110.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,200.0,100.0,0.0,0.0,1.0,1.0,2.0,1.0,0
0.0,120.0,3.0,95.0,5.0,0.0,0.0,1.0,0.0,0
0.0,120.0,6.0,100.0,4.0,5.0,0.0,0.0,0.0,0
0.0,120.0,3.0,90.0,6.0,0.0,0.0,0.0,0.0,1
0.0,120.0,3.0,100.0,8.0,0.0,0.0,0.0,0.0,0
0.0,120.0,50.0,100.0,5.0,30.0,0.0,0.0,1.0,1
0.0,230.0,70.0,10.0,1.0,10.0,1.0,6.0,3.0,0
0.0,230.0,65.0,10.0,1.0,40.0,0.0,4.0,0.0,0
0.0,230.0,70.0,30.0,7.0,20.0,0.0,5.0,0.0,0
0.0,230.0,50.0,10.0,0.3,40.0,0.0,4.0,0.0,1
0.0,230.0,60.0,30.0,6.0,0.0,0.0,3.0,0.0,0
0.0,230.0,65.0,30.0,1.5,3.0,1.0,3.0,4.0,0
0.0,230.0,75.0,5.0,2.0,0.0,0.0,6.0,0.0,1
0.0,230.0,90.0,10.0,2.0,0.0,0.0,4.0,0.0,1
0.0,230.0,70.0,5.0,1.0,25.0,2.0,5.0,0.0,0
0.0,230.0,75.0,20.0,6.0,0.0,1.0,2.0,0.0,1
0.0,230.0,95.0,20.0,0.5,0.0,2.0,2.0,3.0,1
4.0,160.0,15.0,25.0,2.0,1.0,0.0,2.0,0.0,1
4.0,160.0,15.0,85.0,3.0,1.0,0.0,6.0,0.0,1
3.0,160.0,20.0,70.0,2.0,1.0,1.0,3.0,0.0,1
3.0,160.0,20.0,15.0,2.0,30.0,0.0,9.0,0.0,1
0.0,160.0,20.0,40.0,2.0,30.0,0.0,6.0,0.0,1
1.0,160.0,5.0,85.0,3.0,0.0,1.0,3.0,0.0,1
0.0,160.0,20.0,50.0,2.0,0.0,0.0,3.0,0.0,1
0.0,160.0,20.0,30.0,1.0,30.0,0.0,10.0,0.0,1
0.0,160.0,20.0,20.0,2.0,30.0,0.0,6.0,0.0,1
0.0,160.0,30.0,70.0,2.0,30.0,0.0,5.0,0.0,0
0.0,230.0,85.0,50.0,0.2,10.0,0.0,3.0,0.0,0
2.0,160.0,25.0,30.0,3.0,5.0,0.0,2.0,0.0,1
2.0,160.0,25.0,85.0,3.0,0.0,0.0,3.0,0.0,1
5.0,160.0,40.0,20.0,2.0,15.0,0.0,5.0,0.0,1
0.0,160.0,60.0,40.0,2.0,60.0,0.0,3.0,0.0,1
0.0,230.0,85.0,30.0,0.25,5.0,1.0,7.0,3.0,0
0.0,230.0,75.0,0.0,0.0,2.0,1.0,9.0,0.0,0
0.0,160.0,30.0,50.0,7.0,0.0,1.0,0.0,0.0,1
0.0,160.0,40.0,90.0,7.0,0.0,0.0,0.0,0.0,0
0.0,160.0,40.0,90.0,6.0,0.0,0.0,1.0,0.0,0
0.0,200.0,100.0,0.0,0.0,25.0,0.0,2.0,0.0,0
0.0,200.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,160.0,40.0,70.0,8.0,0.0,0.0,0.0,0.0,0
0.0,160.0,60.0,40.0,7.0,0.0,0.0,0.0,0.0,1
0.0,160.0,35.0,100.0,10.0,0.0,0.0,1.0,0.0,0
0.0,200.0,100.0,10.0,2.0,0.0,0.0,1.0,0.0,0
0.0,200.0,110.0,0.0,0.0,0.0,1.0,1.0,1.0,0
0.0,160.0,30.0,90.0,9.0,0.0,0.0,0.0,0.0,0
0.0,160.0,50.0,100.0,7.0,0.0,0.0,1.0,0.0,0
1.0,160.0,40.0,80.0,7.0,0.0,1.0,1.0,0.0,0
0.0,200.0,110.0,10.0,2.0,0.0,0.0,3.0,3.0,0
0.0,200.0,110.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,200.0,75.0,60.0,2.0,5.0,0.0,0.0,2.0,1
0.0,200.0,85.0,40.0,2.0,0.0,0.0,0.0,12.0,1
0.0,200.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,160.0,70.0,60.0,10.0,0.0,0.0,0.0,0.0,0
0.0,200.0,110.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,200.0,110.0,0.0,0.0,0.0,1.0,0.0,1.0,0
0.0,200.0,100.0,50.0,1.0,0.0,2.0,0.0,0.0,0
0.0,200.0,95.0,40.0,2.0,0.0,1.0,0.0,3.0,1
0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.0,200.0,95.0,70.0,1.0,0.0,0.0,0.0,2.0,0
0.0,200.0,80.0,60.0,1.0,0.0,0.0,2.0,2.0,0
0.0,200.0,110.0,0.0,0.0,0.0,3.0,1.0,0.0,0
0.0,200.0,90.0,20.0,1.0,0.0,0.0,1.0,0.0,0
0.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0
