feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
0.0736262,0.469845,0.358543,0.970567,-0.73045,0.303429,0.00267769,-0.903645,-0.871068,-0.110669,0.999926,1.01367,1.47876,-1.58687,0.437076,-0.507595,-0.594234,-0.073405,-0.532673,0.737962,1
1.2649,-0.987171,-1.19874,-0.728304,0.10895,-3.37636,-0.791672,-1.14735,-2.74499,-0.704052,-1.16976,-1.96133,0.427864,1.61587,0.933083,-1.35865,-1.32696,-1.83352,-2.23674,2.4751,0
-2.35924,0.719579,0.431647,-0.671011,1.17102,-0.283895,0.935626,0.660503,-1.77452,0.726922,-1.3497,1.99256,-1.06049,-2.4931,1.25318,-0.789165,-0.315853,-1.52875,1.25091,-2.27974,0
-0.325296,-0.203677,0.420561,0.882351,0.9104,-0.451808,-0.630046,0.0505685,0.483581,0.749134,0.924475,0.47917,-0.190149,-0.0352811,-0.0842287,-1.6157,1.37775,-0.320597,-0.903629,-0.291607,1
0.202034,0.828917,-1.53974,-0.42546,1.3281,0.194099,0.431383,0.196553,0.0931703,-0.689202,0.499306,-0.849338,1.40406,-0.101659,0.772878,-0.308473,0.340233,1.03678,0.709732,0.136203,1
0.445655,-0.645149,-0.0425091,-0.436653,0.0583507,-1.36737,0.675498,-0.0782117,0.772655,0.498327,0.587112,0.00962079,0.158774,0.496883,0.645449,0.508609,-0.459593,0.496052,0.472151,-0.137636,1
-0.76216,-0.458355,-0.455879,1.59447,1.23116,0.496094,-0.672935,-0.36025,-0.827188,-1.54114,-0.732173,0.241885,1.6622,-0.947092,-0.39012,0.911332,-0.365451,0.606175,-0.358997,0.571838,1
-0.424537,0.141197,0.510786,-0.302211,-0.645779,1.00568,1.03313,0.463918,0.536532,-0.944071,-0.443228,1.6243,0.00298772,-0.215794,0.238487,0.23936,0.478603,-0.718057,-0.300274,0.572856,1
0.689844,-0.863888,0.0173532,-0.608595,0.895907,0.493855,-0.592495,-0.215657,0.545543,1.24041,-0.797839,0.145678,0.461774,-1.21843,0.220915,-0.931723,-0.5332,0.123207,1.18189,-0.713627,1
-1.77092,3.27993,-0.862659,0.528475,0.503191,0.0889972,-1.0405,-0.626287,1.39542,0.561663,1.64172,-1.44352,-1.04103,-0.966473,0.912395,-1.28566,-3.1027,1.00185,-0.790659,-1.75293,0
-0.656858,-0.387809,0.566953,-0.027571,-0.845506,-0.442977,0.238723,0.774609,0.0863817,0.97938,1.55843,1.57322,0.389262,-0.781654,0.808209,0.623228,-0.963157,-1.19458,-1.33574,0.0739146,1
0.852721,-0.873713,0.282607,0.385495,0.0158881,-1.08577,-0.228961,-0.213254,0.248137,-0.4462,-0.561076,1.12061,-0.202474,0.515061,0.389657,0.593671,-0.582609,-0.212071,-1.19462,0.55396,1
0.12028,0.70779,-0.822381,-0.290132,0.0399799,-0.280785,0.413445,-0.778343,0.0660156,-0.350688,-0.197999,0.53333,-0.0995557,0.173164,-0.965574,-0.769066,0.230043,0.125356,1.27189,0.0533003,1
0.307715,-1.01246,1.12955,0.633955,-1.23574,0.156909,-0.260678,-0.625528,-1.39805,-0.572873,-0.015425,1.91041,2.6511,1.03969,-2.37358,1.08264,-0.0213596,-0.29322,0.662651,-0.879114,0
-0.432303,0.504516,-1.87527,-0.118317,0.63541,1.61011,1.01209,0.770624,0.193026,-0.643508,-1.01673,0.250797,1.92554,-0.424809,-1.22853,1.32992,1.95031,-1.42231,-0.571502,-0.324755,0
-2.89004,-1.51035,-0.67716,1.41746,-0.452854,-0.342416,-2.09784,-0.109078,0.796662,3.18766,-0.533355,-0.728467,-0.195092,-0.67911,-0.976355,-3.62602,1.18435,-1.09999,0.496075,-0.262976,0
0.654049,-0.627465,-0.42718,0.626556,0.509929,0.415433,0.191489,0.6118,-0.512996,0.410874,-0.639788,0.526176,0.811323,0.343352,-0.045782,0.410417,-0.816637,-0.913994,0.272696,-1.36298,1
-0.121321,-0.461715,-0.517712,-0.103519,-0.482031,0.638074,-0.507151,-0.28359,0.627747,-0.0829988,1.47696,-0.934939,0.951655,0.250182,-0.804871,0.670644,1.56288,-0.0842699,0.515458,-0.692186,1
0.2086,-0.424635,1.94976,-0.482753,-0.358902,-2.01713,2.31646,-0.966011,-0.931055,-0.826473,-0.701503,0.526803,-0.97227,0.811862,-0.0108248,1.94577,0.933769,1.03255,0.928697,-0.75002,0
-1.75722,-3.96655,-0.730863,0.236255,-1.07613,1.71042,-0.107928,0.409015,-0.815648,-0.938931,-2.43323,-0.559274,0.840916,-2.99759,-0.273534,-0.477913,0.49661,-0.186842,-1.12592,0.446753,0
-0.0268146,0.18208,0.327996,-0.354508,-1.20281,0.2941,0.796903,0.977014,-0.0529095,0.860449,-0.760333,1.04129,-0.612898,-1.1848,0.185708,-2.44928,0.881138,-0.375659,0.228621,0.280821,1
0.248751,-0.773249,-0.277401,0.149114,0.535992,0.589877,0.596857,0.480932,-0.681108,0.195796,0.764606,-0.102966,-0.499093,0.573712,1.43202,0.6325,0.554359,-0.175854,0.240903,0.523293,1
-1.11367,1.03758,-0.0666511,-0.410852,0.404536,-0.435577,-0.693232,-0.775117,0.33855,-1.18168,-0.0440246,0.225443,1.26135,-0.651685,1.94173,0.335373,-0.008344,-0.474548,-1.11492,-0.70841,0
0.10153,1.1111,-0.383823,-1.06713,1.16588,0.562015,1.26676,-1.22642,0.148714,-1.03508,-0.817282,0.556927,0.964919,-0.552181,-1.08397,1.63707,-0.244457,-0.0939685,2.41015,2.19095,0
-0.333566,0.174537,0.401716,-0.788253,0.248797,0.979374,0.425363,0.143422,0.544432,-0.155918,-0.480044,0.314998,0.338459,1.00511,0.409036,1.24573,0.549683,-0.362338,0.286769,-0.157614,1
-0.530408,0.395178,-0.327594,0.538529,-0.0483779,0.340992,-0.365077,0.83046,-1.03196,0.0475456,0.000191944,0.578703,-0.83713,0.313584,-0.465206,0.0516876,0.244322,-0.249331,-0.485656,0.507451,1
2.33515,-0.710942,-0.530707,-1.95296,2.47872,-0.109265,2.31515,2.27525,-1.26753,-0.769166,1.01084,-0.0389533,-0.0725278,-0.630593,-1.05674,2.42372,-1.41181,-0.599096,-1.44948,-0.14069,0
-0.831099,0.416475,-1.0816,-0.778894,-1.94699,-1.77441,-2.51475,1.16728,-0.125425,0.173394,1.13157,0.41246,0.763586,-2.45453,-1.24031,0.365117,-0.0968626,-0.188745,-1.80853,-0.620354,0
0.999879,0.217892,-0.160263,-0.735576,0.351775,-0.512817,-0.151562,-0.139313,0.9067,-0.410788,0.821805,-0.157439,0.334205,-0.102229,-0.275839,1.15656,-0.691219,0.99013,-0.805756,-0.0992071,1
2.31028,1.44742,-2.59288,-0.103013,0.496453,1.1198,-0.82792,-3.15217,-1.02517,-1.98716,-0.452573,-1.59766,-0.332797,1.97797,-1.36169,0.366735,-0.0384188,2.97178,-1.34744,-0.127075,0
-0.225108,-0.866804,-1.26279,-1.57796,1.74096,-0.810335,0.0226637,0.774799,-0.105799,-0.400697,-0.155977,-1.04075,-0.52975,-2.4805,-2.17032,-1.23097,-0.979394,1.26231,-0.61999,1.34608,0
1.10493,-2.08531,-1.77895,-0.355583,1.99453,-1.04579,-1.54046,0.361197,0.85165,0.472116,1.23054,1.16517,0.184488,1.10822,1.07335,0.110615,2.19394,-2.30741,-0.825075,-0.37171,0
-0.606227,0.524863,-0.108407,0.405225,0.759874,1.04455,-0.273216,0.323942,-0.663026,-0.332347,1.06653,0.00861667,-0.548144,-0.628376,0.992217,-0.821211,-0.659439,0.238854,0.884175,0.653914,1
1.20095,0.244704,-1.75998,0.265471,-1.3037,0.216176,0.0579805,-2.18183,0.554677,0.382569,3.20329,0.633616,-3.55813,2.08128,-0.617747,-0.146127,-0.472545,-1.29955,-0.497106,-1.63472,0
0.622168,1.45471,-0.859272,2.38443,-0.46811,-1.62335,-0.450855,-2.01428,-0.815154,0.218072,-1.37429,-2.56286,0.722606,-0.936768,0.1014,-0.325087,-0.759583,-0.0525959,1.3459,0.950912,0
0.549315,1.29245,-2.04389,0.449175,-0.339387,0.935032,-0.194079,-0.302502,0.207282,-2.24602,-0.582589,1.19473,-1.46215,-0.20224,0.558835,-1.60538,-0.910273,-1.06641,-0.713065,-0.87466,0
-2.07016,-0.0272784,-0.418804,-0.162393,0.358005,-1.22334,1.13846,-0.137921,-2.90193,-1.37937,-0.327826,-0.228355,0.306739,1.67034,-0.736826,-0.527258,1.74579,0.519133,-0.812793,-0.909526,0
0.306136,-0.20355,1.1317,1.5478,0.679144,0.243042,-0.920588,-0.11591,0.265973,0.0738829,0.0348753,-0.622784,-1.24361,-1.3928,-2.12433,1.95224,0.254368,-0.74746,-2.35342,-0.886049,0
0.443698,0.585268,0.178833,0.829927,0.724404,-0.0605702,-0.751762,0.00319312,0.0571904,0.750467,-0.626241,0.370851,0.533911,0.30592,-0.0598023,0.191197,0.387494,0.146901,-0.706029,1.10253,1
-2.0321,0.341492,1.09666,-0.458154,-0.726,1.35556,-0.118417,0.654558,-1.87011,2.15257,-1.67753,-1.17404,1.25522,-2.12467,3.4753,1.96294,2.87404,-2.07556,-1.16788,0.431929,0
0.586436,0.153621,-1.26679,-2.78737,0.565042,0.511766,-3.35832,1.9039,-0.252435,-0.2593,0.647761,0.159987,0.846546,1.54151,1.10126,0.385776,-0.951594,0.781241,1.22878,1.89274,0
0.726397,-0.267759,-0.363253,0.449302,-0.406831,0.173451,-0.377615,-0.369359,0.463338,0.244155,-1.59675,-0.0631149,-1.05898,0.571115,-0.231037,-0.21109,-0.358943,-0.112261,0.228813,-0.675071,1
-0.337859,-0.512612,0.624906,-0.641985,0.206589,0.237321,-0.551654,0.422994,-0.140792,-0.893364,-0.09075,0.349075,-0.530563,0.613741,0.630681,-0.601057,-0.318886,-0.278918,-0.128901,-1.11949,1
-0.0013098,-3.53687,-1.4117,2.01278,-1.65141,0.515622,-0.757534,0.623185,0.247273,-1.02537,-2.05146,0.730953,-1.50282,-0.898322,0.0317969,0.00968548,-0.239149,1.38378,1.4455,0.00125564,0
-1.10401,0.598389,-0.100832,-3.07491,-0.263297,-1.00089,-0.00545325,0.659934,2.00782,1.57498,-1.04777,0.82854,0.348032,0.249422,-0.46153,-0.74654,0.177728,2.72692,-2.27736,0.236602,0
-1.45767,-0.262941,-0.107483,1.55994,-0.772086,0.0812234,-1.83206,0.173972,-1.4291,-0.95175,-0.0712445,-0.334414,0.145385,0.712105,1.47931,-0.704974,-1.35463,1.85092,1.23556,0.00691821,0
2.36672,-2.50865,2.11339,-2.60411,-1.42886,2.29706,0.909123,-1.52104,-0.94346,0.847312,0.292147,0.827975,-0.218866,0.198245,0.496398,1.15818,1.01369,1.86485,-0.65447,1.84801,0
0.902279,-0.0739927,-1.01379,0.933952,0.847342,0.212631,-0.641777,-0.318631,0.774815,0.759479,1.26309,0.125973,0.740437,0.692217,-1.11774,-0.516057,-0.884242,0.509495,-0.510923,0.456678,1
-0.494612,-0.127616,0.723691,1.05942,0.526139,0.87564,0.456273,1.11351,0.291646,0.306413,0.926106,0.7243,0.280274,1.24965,-0.462215,1.09944,-0.473998,0.460388,0.752463,-0.214113,1
-0.880341,-0.873967,0.589986,0.384167,-0.0277187,0.964883,-1.02437,-1.28581,0.238201,-0.0793814,1.55944,-1.08562,1.27361,0.779496,-0.0449096,1.1168,0.486311,1.59378,0.364044,-0.791376,0
-1.30426,1.2998,-0.844799,0.63465,0.564915,-0.263434,0.603126,0.8075,0.627932,0.0710271,0.280356,0.546697,-0.0641441,0.688353,-0.255338,0.102899,-0.00562715,-0.644581,-0.671549,0.245509,1
0.296351,-1.50249,-0.868633,-2.43982,0.944345,0.342857,-0.0531217,0.791624,-1.51457,1.06658,-0.101412,1.44149,-1.11592,-0.0621997,-1.16796,-0.652829,0.377448,-0.510273,-0.709163,-2.18939,0
1.53718,0.682563,1.13952,-1.29213,-0.13521,0.155665,0.365467,0.0594238,-1.16033,-0.833391,-1.97344,0.222368,0.0581072,2.57462,-0.617062,-0.856119,0.374478,-0.614135,-1.17313,0.246591,0
-0.563677,0.232281,-0.349026,0.559714,-1.49687,0.531418,-0.628867,0.776444,-0.838235,-0.103434,0.0472936,-1.06114,0.287031,-0.228905,-0.499229,-0.0719543,0.524536,-0.528013,0.425966,0.378802,1
1.35227,0.218273,-0.0116542,-0.232966,1.20529,0.257719,-0.0142669,1.12388,-0.169613,-0.72912,0.342447,1.17295,1.1777,0.2156,0.62688,-0.247554,-0.0369656,0.556147,0.882832,0.898549,1
-1.21512,1.84643,0.544412,0.00208734,2.08956,1.03522,0.139414,1.07803,-0.092037,1.11513,1.11426,-1.35196,1.07184,-0.891608,-0.761564,-0.852261,0.684893,-2.45055,-1.33158,-1.53883,0
-1.17819,-1.70823,-2.49243,-2.1808,0.106026,0.701881,0.403328,0.164801,-0.585388,1.05395,0.113211,-1.79139,-1.6765,0.765815,-0.794402,-0.574113,0.10033,0.620661,-1.60108,-0.175811,0
0.107843,-0.362201,0.519346,0.26566,0.0132183,-0.246643,0.783248,0.308066,0.150997,0.951329,1.96567,0.987818,0.364861,0.225037,0.179353,0.209802,-0.210528,0.392252,0.402169,-0.132037,1
-1.72212,-0.633169,0.341299,0.940656,1.49897,-1.46893,0.0866561,0.882896,-1.12496,0.387266,0.408051,1.07417,1.34519,0.22092,0.860302,2.84741,1.94911,-0.32692,0.0634536,3.62937,0
2.26439,0.0649458,-2.57046,-0.80988,-1.24076,1.8616,-0.584054,-1.05418,2.11595,1.45574,0.518373,0.0353513,1.7745,0.149855,-0.814031,-1.32306,1.14252,0.213196,0.9397,-2.44637,0
