feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label
-0.827413,-0.742202,-1.04948,-0.698621,-0.95735,0.813936,-0.28093,1
-0.236287,-0.121968,-0.533173,0.0665066,-0.343129,-0.41781,-0.472188,0
-0.346264,-0.4742,1.0369,-0.687336,0.318747,-0.958528,-1.22705,0
-0.253471,-0.229169,0.0508446,-0.244961,-0.239876,-0.673204,-0.384698,0
-1.38073,-1.22461,-2.5857,-0.791158,-1.63511,0.985529,-0.453876,1
0.0695866,0.0924335,0.292069,0.188385,0.183724,-1.04499,-0.0978094,0
1.18654,1.01896,1.6844,0.791008,1.31421,-0.574106,1.12706,1
-0.933953,-0.635001,-2.66188,-0.529345,-1.35977,0.748092,-0.382663,1
-0.961448,-0.880032,-1.24415,-0.815985,-1.08972,0.856502,-0.736695,1
1.53366,1.55496,0.444422,1.60805,1.45982,-0.148449,1.68863,1
0.0558395,0.153691,-0.224236,0.362175,-0.0360186,-1.26979,-0.828256,0
1.75017,1.80765,0.177805,2.36189,1.33539,-0.298094,2.32345,1
0.475127,0.475294,0.592542,0.549507,0.564964,0.0457575,1.04567,1
-0.177862,-0.213855,0.512134,-0.281073,-0.157804,-0.247547,-0.374524,0
0.444196,0.329807,1.37123,0.0665066,0.80324,-1.55977,-0.474223,0
1.58521,1.48605,1.16386,1.09345,1.67692,0.404241,1.22269,1
1.08,0.995984,1.19349,0.590134,1.15271,-1.08556,0.872728,1
1.55771,1.6545,0.0254525,1.52228,1.40952,-0.0147656,1.13317,1
-0.765551,-0.680945,-0.969071,-0.493233,-0.920285,-0.262179,-0.360282,1
0.928782,0.84284,1.18926,0.366689,1.14212,1.10791,0.514626,1
-1.26045,-1.16335,-1.87895,-0.922065,-1.49744,-0.244887,-0.828256,1
-1.03362,-1.03318,-0.79979,-1.02363,-1.11885,-0.0679728,-0.740765,1
-1.39105,-1.52324,-0.507781,-1.46149,-1.15856,0.713507,-0.702106,1
-0.0885053,-0.213855,1.19772,-0.626396,0.196962,0.322435,-1.27588,0
-0.903022,-0.948947,-0.245396,-0.913037,-0.772024,1.17641,-0.380628,1
-1.23983,-1.19398,-1.48538,-1.21548,-1.4392,-0.119185,-0.651239,1
-0.143494,-0.121968,0.173573,-0.0982553,0.0354639,0.182766,-0.537298,0
-1.24326,-1.33181,-0.490853,-1.21773,-1.15856,2.54317,-0.917781,1
-1.38417,-1.32415,-1.92127,-1.01235,-1.66423,0.766714,-0.649205,1
0.612598,0.689696,0.156645,0.958027,0.546432,-1.10418,0.954114,0
1.28621,1.14147,1.50666,0.921915,1.5922,1.53024,0.954114,1
1.23809,1.19507,0.893015,1.07991,1.35127,-0.97449,0.785237,1
-0.82054,-0.880032,-0.0168676,-0.885953,-0.639649,0.855836,-0.531194,1
-0.507793,-0.596715,0.58831,-0.696364,-0.345776,0.645003,-0.645135,1
-1.19859,-1.15569,-1.38804,-1.02363,-1.33329,0.231317,-0.295172,1
-0.738057,-0.880032,0.694111,-1.00557,-0.443734,3.16303,-0.83029,1
1.47867,1.44776,0.761823,1.39137,1.47306,-0.409829,1.58079,1
1.62301,1.66982,0.292069,1.7051,1.35922,-1.48195,1.75984,1
-0.195046,-0.298084,0.990352,-0.522574,0.104299,1.98516,-0.828256,0
-0.280965,-0.305741,0.364014,-0.430036,-0.152509,-1.31901,-0.828256,0
-0.717436,-0.903004,1.07499,-1.25385,-0.274294,-0.580092,-1.17618,1
-0.738057,-0.650316,-0.92675,-0.547401,-0.920285,-0.292773,-0.187335,1
-1.23295,-1.18632,-1.5023,-0.998803,-1.45243,1.08729,-0.643101,1
-0.951137,-1.01786,-0.194612,-1.19516,-0.854097,-1.51986,-0.909642,0
0.956276,1.08787,-0.156524,1.26949,0.800592,0.24994,1.32646,1
