feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,label
-0.286662,0.184098,-0.35697,-0.19451,-0.516483,-0.123237,-0.440818,-0.135429,-0.923969,-0.933596,-0.925829,-0.902309,0.663946,-0.770267,0.639274,-0.961018,2.41289,-0.685682,2
-0.177007,-1.62511,-0.35697,-0.19451,-0.495898,-0.121239,-0.333095,-0.127927,1.9962,1.93958,1.974,2.05538,-2.13696,1.48922,-0.380303,1.97973,-0.882615,-0.661611,1
1.41298,-0.163825,-0.35697,-0.19451,-0.557652,-0.125904,-0.440818,-0.138093,-0.816282,-0.736977,-0.844144,-0.850366,1.38336,-0.855423,0.0621548,-0.87818,0.615688,0.136579,0
-1.42433,1.88893,-0.35697,-0.19451,0.183389,-0.0674331,-0.0407042,-0.0998039,-0.61546,-0.613298,-0.731826,-0.471489,0.520064,-1.28121,1.64923,-0.655553,-0.433513,2.35939,6
-0.286662,-1.43375,-0.35697,-0.19451,-0.557652,-0.12,-0.440818,-0.130192,1.96612,1.88884,1.95613,2.03093,-2.30002,1.54599,-0.312973,1.96161,-0.842718,-0.674065,1
-0.862347,0.288476,-0.35697,-0.19451,0.203973,-0.104845,-0.286928,-0.128521,-0.36807,-0.426193,-0.274899,-0.419546,-0.228123,0.319736,-0.312973,-0.300902,0.0764757,-0.520512,3
0.193076,-1.86865,-0.35697,-0.19451,-0.454729,-0.11938,-0.410039,-0.139101,2.70732,2.90681,2.42838,2.81924,-0.391189,0.359476,-0.216786,2.44052,-1.42511,-0.562983,1
1.34445,0.897342,-0.35697,-0.19451,0.698001,-0.0576355,1.31353,-0.0604382,0.544846,0.512504,0.656824,0.435982,-0.736506,1.19401,-1.28446,0.64397,-0.499581,-0.450681,5
0.0148876,-0.755296,-0.35697,-0.19451,7.09977,11.7031,8.91569,6.82099,0.831042,0.785233,0.812537,0.88819,-1.09142,0.558174,0.148723,0.80188,-0.601242,-0.693245,2
1.38557,0.914738,-0.35697,-0.19451,0.430402,-0.0542676,-0.00992611,-0.0913601,0.520592,0.50299,0.626192,0.405428,-0.583032,1.13156,-1.33255,0.612905,-0.48632,-0.426372,5
-0.327782,0.236287,-0.35697,-0.19451,-0.537067,-0.116118,-0.440818,-0.126404,-0.940462,-0.930425,-0.953908,-0.923697,0.855789,-0.8611,0.600799,-0.989493,2.29122,-0.542077,2
-0.478557,-0.0246559,2.41015,-0.19451,-0.0842091,-0.0961259,-0.348484,-0.128418,-0.546579,-0.64501,-0.433164,-0.581486,-0.448742,0.308382,-0.0725063,-0.461401,0.691391,-0.572283,2
1.72824,0.86255,2.41015,-0.19451,0.101051,-0.0863942,-0.00992645,-0.119142,0.516711,0.487133,0.628745,0.405428,-0.688545,1.1713,-1.29408,0.615494,-0.475348,-0.443465,5
1.35815,0.0101365,-0.35697,-0.19451,-0.125378,-0.0984573,-0.148427,-0.119999,0.169396,0.112923,0.27903,0.0907154,-0.650177,0.870414,-0.822761,0.260843,-0.345458,-0.494976,3
1.33074,-1.06843,-0.35697,-0.19451,-0.598821,-0.121713,-0.486985,-0.130687,-0.8027,-0.81943,-0.752248,-0.838144,0.50088,-0.321776,0.0429175,-0.784987,1.11215,-0.434375,4
-0.259248,0.218891,-0.35697,-0.19451,-0.578236,-0.123344,-0.56393,-0.138345,-0.952103,-0.933596,-0.971777,-0.935919,0.942118,-0.912194,0.600799,-1.00761,2.348,-0.473359,2
-0.917174,-0.216014,-0.35697,-0.19451,0.492156,-0.0503377,-0.10226,-0.123987,-0.464115,-0.492789,-0.412743,-0.492877,0.117194,-0.0379211,-0.053269,-0.440691,-0.0773807,-0.511747,4
0.960656,-0.0768445,-0.35697,4.39036,0.636247,-0.0959787,-0.333095,-0.124684,-0.74449,-0.76869,-0.701194,-0.764813,0.385774,-0.321776,0.158341,-0.733213,0.712506,-0.504622,4
-0.84864,0.966927,-0.35697,-0.19451,-0.454729,-0.122353,-0.240761,-0.130599,-0.661057,-0.657696,-0.798196,-0.492877,0.568025,-1.4572,1.89932,-0.673673,-0.0312331,2.205,6
-1.47915,-0.23341,2.41015,-0.19451,-0.2283,-0.0991462,0.0824078,-0.089224,-0.86673,-0.895541,-0.867118,-0.828978,0.443327,-0.713496,0.764317,-0.901478,1.66338,-0.812609,2
0.0285944,-0.0420521,-0.35697,-0.19451,-0.0842092,-0.10947,-0.117649,-0.0986074,-0.36516,-0.31837,-0.3234,-0.456212,0.721499,-0.0208898,-0.6881,-0.350087,-0.049795,-0.244503,0
0.617986,-0.616126,-0.35697,-0.19451,-0.434145,-0.118619,-0.440818,-0.132359,-0.385533,-0.416679,-0.341268,-0.404269,0.0308651,-0.0208898,0.00444287,-0.368208,-0.211458,-0.547061,4
-0.738986,0.984323,2.41015,-0.19451,-0.248885,-0.114755,0.159353,-0.108432,-0.385533,-0.413508,-0.522508,-0.190387,0.0596415,-1.23011,2.02436,-0.417393,-0.435858,2.46984,6
-1.10907,-0.772692,-0.35697,-0.19451,-0.537067,-0.119632,-0.456207,-0.133307,1.85164,1.74296,1.89232,1.88733,-2.49187,1.7901,-0.534202,1.8969,-0.739408,-0.656859,1
0.98807,0.566815,-0.35697,-0.19451,-0.351807,-0.116367,-0.10226,-0.111179,-0.527176,-0.553044,-0.657799,-0.340104,0.193931,-1.30391,2.01474,-0.544239,-0.185076,2.41144,6
-0.670452,-0.302995,-0.35697,-0.19451,-0.0224557,-0.0482731,-0.0560932,-0.0769437,-0.874491,-0.908226,-0.833933,-0.880921,0.404958,-0.446672,0.350714,-0.867825,2.08786,-0.577637,2
-1.06795,0.0623251,-0.35697,-0.19451,-0.269469,-0.105895,-0.379262,-0.131829,-0.509713,-0.679894,-0.3234,-0.563153,-1.12978,0.824998,-0.264879,-0.350087,1.20268,-0.62341,2
-1.23243,0.201495,-0.35697,-0.19451,-0.619405,-0.124665,-0.610097,-0.138156,-0.964715,-0.936767,-0.999856,-0.938975,1.03804,-1.02574,0.696986,-1.03609,-0.409793,-0.473359,2
-0.0262328,-0.337787,-0.35697,-0.19451,0.14222,-0.0803166,0.436355,-0.106164,-0.396205,-0.350082,-0.356584,-0.483711,0.740683,-0.0606295,-0.640007,-0.38374,-0.0240795,-0.236772,0
-0.889761,1.26266,-0.35697,-0.19451,-0.166547,-0.103961,0.559466,-0.106228,0.369248,0.357111,0.439848,0.292376,-0.410373,0.773904,-0.89971,0.423931,-0.565917,-0.450624,5
-1.39691,-0.616126,-0.35697,-0.19451,0.0392977,-0.0559536,0.143964,-0.122475,-0.43113,-0.400823,-0.387216,-0.508155,0.625578,-0.0606295,-0.524583,-0.414804,-0.00871075,-0.273242,0
