feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,label
0.944064,0.69488,-1.28855,-0.418964,0.337235,-0.586895,0.140538,1.63815,-0.285842,0.355754,1.53753,1.13149,-0.0862428,0.333883,0.0503778,0.349962,-0.065192,0.846114,1.86091,0.479395,1.0434,0.768154,1.64308,0.43172,1.12745,1.53087,0.912047,0.720019,1.12818,1.11189,0.905489,1.14287,0.742875,1.26308,0.947772,1.50687,0.944789,1.55697,0.771728,1.60073,1.4335,0.730557,0.970101,0.893842,1.38712,1.1939,0.946657,1.48774,0.821798,1.2557,1.0387,1.29012,1.17379,1.26138,1.5235,1.36499,1.56852,1.72375,1.28549,1.30559,2
1.56326,-1.27799,-0.377423,-0.347293,-0.751508,-0.561811,-0.901843,0.816213,1.17758,0.122389,1.15723,1.08171,-0.192095,-0.0633499,-0.907373,-1.05352,0.720394,-0.255305,-0.941421,-0.822236,-0.23013,-0.406242,-0.0672666,-0.0899941,-0.11414,0.480209,-0.486049,0.33431,0.260843,0.144587,0.462788,0.239002,-0.557849,0.531775,0.128233,-1.69443,-0.804267,-1.64099,-1.16954,-1.522,-0.819698,-1.20269,-1.52495,-1.05662,-0.841803,-1.46777,-1.22486,-1.31393,-1.42299,-0.947763,-0.659033,-0.872671,-0.752415,-1.34938,-1.26525,-1.21021,-1.33503,-0.850978,-0.971637,-1.24889,5
-0.106485,0.525026,0.741236,0.668017,0.681739,0.0389293,-0.428899,-0.609293,0.191958,0.0987739,0.606124,0.838314,0.360588,0.1747,1.43826,0.565924,0.75585,-0.151643,0.268905,0.204534,1.42455,0.913045,0.142049,1.23236,0.842888,1.15949,0.924804,0.945112,0.840433,1.03224,1.22728,1.18503,0.487257,1.26432,0.416424,0.992378,1.3741,0.546262,1.35594,0.42726,1.33415,0.863146,0.502142,0.951842,0.76685,0.943668,0.614241,1.03594,0.978256,0.944605,0.98006,1.13107,1.28319,1.39676,0.728415,0.805873,1.06127,0.761991,0.749784,1.3113,2
0.874431,0.479279,-1.04439,-1.1081,-1.20255,-1.406,0.165158,0.433818,-0.734555,-0.203478,-0.482415,1.12787,-0.406633,0.282882,0.543577,-0.486301,0.361061,-0.876646,-0.154605,-0.696087,-0.209285,0.760017,0.789755,-0.2951,-0.424026,-0.547488,0.133791,-0.489952,0.0516906,0.51942,-0.000117424,-0.260991,0.336262,-0.0403302,0.25942,0.409267,0.379571,0.114314,-0.0531249,0.406099,-0.191986,-0.250356,-0.339637,-0.401955,-0.0056262,-0.284241,0.37916,-0.423724,-0.138078,-0.332196,0.0680658,0.4086,-0.0389574,0.271511,0.10863,0.233722,-0.405121,-0.155766,0.281737,-0.397224,0
0.870627,-1.40323,-0.332412,-0.685017,0.149448,0.492543,-1.2507,-1.10841,-1.09898,0.191687,0.177018,-1.42696,-0.40773,-1.02694,-1.65311,-2.12885,-1.75226,-1.08318,-0.488173,-1.15845,-1.20165,-1.3473,-0.616904,-1.54584,-0.888795,-1.33899,-1.7082,-1.5316,-0.918538,-1.54586,-1.11944,-1.12382,-0.832297,-1.08378,-1.19756,-0.860878,-1.05989,-1.42472,-1.32882,-0.952789,-1.48014,-1.6962,-1.63694,-1.68474,-1.58849,-1.06556,-1.46539,-1.81646,-1.16306,-1.63783,-1.0801,-1.79196,-1.14791,-1.56734,-1.08505,-1.72994,-1.11512,-1.52593,-1.21302,-1.17283,3
-1.19159,-1.1936,-0.243798,0.598946,-1.00456,1.17081,1.0024,0.129322,0.360738,1.13903,1.56113,0.355434,1.18058,0.607147,0.613534,1.78645,0.892754,1.23086,0.358351,2.12845,0.544872,1.17129,1.01106,1.68463,1.36024,0.546322,1.74055,1.64933,1.7639,0.631655,0.818671,0.897869,1.02075,1.09848,1.2304,1.71861,1.43012,1.45629,1.45123,1.53499,1.56363,1.44206,1.61943,1.10467,1.01957,1.14791,1.57956,1.13177,1.28315,1.21774,1.80668,1.286,1.40426,1.2555,1.30916,1.70119,1.69819,1.90227,1.62346,1.40883,2
-0.816024,-0.470815,-1.02551,-1.01015,-0.733812,0.132929,-0.539654,-0.166658,1.28667,1.17574,-0.191504,0.286897,0.995792,-0.559135,-1.06656,-0.854383,-0.960262,-0.24546,-0.754196,0.51968,-0.762944,0.605819,0.135772,0.387694,0.114895,-0.349551,0.214921,0.0664374,-0.178234,-0.538398,0.554975,0.189395,-0.525187,0.424911,0.384254,0.329258,-1.78549,-1.35452,-1.25074,-1.67507,-1.0314,-0.902711,-1.43811,-0.882193,-0.887728,-0.897106,-1.05996,-1.46101,-0.935172,-0.780925,-1.00629,-1.48677,-1.44564,-1.29338,-0.927114,-1.47638,-0.778958,-1.44256,-1.28284,-0.759432,5
-1.67201,1.9461,3.1212,2.74076,1.67112,0.369551,-3.42908,-2.90084,-2.08918,-1.01014,0.25636,2.00511,3.17745,1.45265,2.07759,0.717309,-1.81535,-1.78094,-2.12204,-1.33181,0.230354,0.476692,2.47836,2.18781,0.704458,-0.0852001,-0.563231,-1.56069,-1.06311,-0.976424,-0.215328,0.296194,0.659674,1.54447,0.704225,0.0885997,-0.0588066,-0.977544,-0.637077,-0.266244,0.141535,0.492943,0.943568,0.692221,0.3437,-0.204443,-0.790684,-0.927514,-1.16882,-0.828172,-0.228777,0.308883,0.74207,0.599911,0.557213,-0.251982,-0.631192,-0.813673,-0.986546,-1.02261,1
0.680897,0.865623,-0.582191,0.201031,-0.877798,-0.43809,0.958928,0.038132,0.959882,-0.243391,0.184772,1.33805,0.0609517,1.37184,0.824232,-0.370316,0.929685,1.47263,1.26179,1.50293,1.68106,0.581134,0.626661,0.926705,0.759928,0.742395,0.369892,1.09417,0.502584,0.571657,0.666031,1.1339,0.932034,0.952141,0.510701,1.06384,0.59533,0.763903,0.680784,0.785099,1.1313,0.608304,0.57443,1.16862,0.774655,1.16282,0.463433,1.14325,1.2294,1.11461,0.545735,0.883325,0.57632,0.861054,1.27394,1.13063,0.772683,1.31969,0.737324,0.828226,2
-1.07235,0.0759545,-0.41033,0.338455,0.288104,0.534055,0.200236,-1.42305,0.0230651,-1.23741,-0.811955,-0.173124,-0.424388,-0.888335,-2.19641,-0.905056,-1.10015,-1.04169,-1.10706,-1.20649,-1.7998,-0.722403,-1.16074,-1.68673,-1.44459,-1.79825,-1.48343,-1.62798,-1.08092,-1.96091,-1.21353,-1.9193,-1.8283,-1.1304,-1.61864,-1.67836,-1.54969,-1.12904,-1.04363,-1.78074,-1.18521,-1.02885,-1.23087,-1.58703,-1.42298,-1.45238,-1.7647,-1.5945,-1.37052,-1.57338,-1.92654,-1.73995,-1.40387,-1.54045,-1.81663,-1.76261,-1.96569,-1.6292,-1.47835,-1.44262,3
