feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,label
-1.09942,1.89552,2.01265,-1.11466,-1.21679,-1.2109,1.04399,1.50204,1.3813,1.6574,-0.0502144,-0.276776,-0.291207,1.7817,1.62887,-0.371494,-0.217426,-0.131838,-0.210645,-0.200018,-0.564459,-0.80998,-0.820045,-0.921796,0
-0.222493,-0.733288,1.83228,1.51103,1.34888,1.64273,-0.275953,0.127392,-0.816986,-0.871195,-0.600854,-0.983571,-0.92013,-0.865311,-0.793252,-0.118437,-0.426539,0.227904,-0.446529,-0.456699,-0.484453,1.90303,2.66751,2.97397,2
-0.228721,-0.729742,1.82186,1.0253,1.52435,0.0303507,-0.353764,-0.107414,-1.05428,-0.862784,-1.2224,-0.997979,-0.924394,-0.859604,-0.782176,-0.534433,-0.277931,-0.37916,-0.435171,-0.439178,-0.333457,2.05001,2.66751,2.97397,2
-0.136544,-0.676556,-0.743403,-0.658716,-0.757567,-0.871741,-0.0785978,2.21276,0.59941,1.6574,1.77319,-0.403247,-0.405621,-0.413151,-0.625948,-0.333262,-0.426539,-0.49158,-0.519041,-0.528534,-0.591503,-0.225258,-0.356225,-0.179497,1
0.154936,0.0581196,0.115159,-0.125634,1.52435,-0.583259,-0.0672799,0.240747,-0.243647,-0.0308799,0.354263,-0.961959,1.2374,-0.8818,-0.833475,-0.386968,1.23681,-0.0497715,-0.254327,-0.288498,-0.172319,-0.579654,-0.4987,2.97397,2
-0.893892,-1.0985,-0.789097,-0.553321,-0.0310269,1.64273,1.16637,-0.864912,1.3813,-0.996592,-0.748463,-0.444069,-0.254964,-0.225437,-0.237708,-0.420649,-0.277931,-0.197041,-0.263063,0.0111079,-0.294018,-0.661732,-0.641176,-0.73231,0
0.081443,-0.0780365,2.01265,1.68287,1.52435,-0.856147,-1.11489,-0.700278,-0.998273,-0.452184,-0.223149,-0.638578,-0.610288,-0.593254,-0.54725,0.197429,0.346224,-0.418507,-0.471864,-0.495244,-0.559951,2.05001,-0.462307,-0.0673702,0
-0.952437,-1.19069,-1.00233,-1.08411,-1.19215,-1.18517,1.01853,-1.01065,1.3813,1.6574,-0.114612,-0.336809,-0.347348,-0.339587,1.62887,-0.400623,-0.252455,-0.165563,-0.238601,-0.389243,-0.483326,-0.769896,-0.76894,-0.862691,0
-0.607395,-0.642517,0.0470189,-0.192842,-0.182607,1.64273,1.16637,0.595206,0.0489171,-0.109635,0.0894354,0.480447,-0.323186,0.406827,1.62887,-0.445226,-0.311898,-0.22627,-0.294514,-0.594237,-0.186968,-0.588562,-0.476245,-0.530655,1
-0.820399,-1.04886,-0.329754,-0.00420148,-0.0101193,1.64273,1.16637,-0.953077,1.3813,1.6574,-0.813585,-0.491296,0.336295,1.7817,1.62887,-0.401533,-0.254578,-0.172309,-0.242969,-0.235936,-0.226407,-0.62292,-0.593168,-0.67842,0
0.00545903,-0.607769,-0.809138,-0.9833,-0.723218,1.64273,1.16637,0.602403,1.3813,0.756676,1.77319,2.33909,-0.447549,-0.445493,-0.409093,-0.386968,-0.260947,-0.457854,-0.502442,-0.525906,-0.599391,2.05001,-0.0240391,-0.327262,1
1.12155,0.131871,-0.250391,-0.47924,-0.578358,-0.585598,-0.85741,-1.04394,-1.28126,-1.13116,-0.851211,-0.347215,-0.154763,-0.168996,-0.539672,0.0299378,0.27935,0.402154,3.44381,3.43731,0.408002,0.343558,0.599292,0.692313,3
-0.198826,0.0879037,-0.0219226,-0.115706,-0.224422,1.64273,-0.0637431,0.627593,-0.258386,-0.054583,0.166858,-0.251962,1.21963,-0.802529,-0.838139,-0.405174,-0.238656,-0.56128,-0.150363,-0.249953,-0.262466,-0.55993,-0.499475,2.38378,2
