feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,label
-1.09406,-0.739089,-0.0609763,0.140181,-0.870461,-0.858404,-2.36227,-1.32826,-2.24382,-0.945911,-0.7027,0.73152,0.273126,0.551878,0.843253,1.56819,1.13475,1.36563,0.792197,-1.84707,-0.86115,1
0.885882,0.969247,-0.313508,-0.220182,-0.68575,0.221969,-0.110035,0.561704,-0.662599,0.875826,1.15087,0.910039,1.17529,-0.624183,0.600531,-0.74033,-0.428176,0.360541,-0.218388,0.8348,-1.44286,1
-1.58905,2.01323,1.15959,-0.163654,0.684692,0.734596,1.51713,1.25469,1.35751,0.53629,-0.234866,-1.26524,-1.6644,-2.81722,-0.568499,-1.54666,0.00297494,-0.616232,-0.0847572,-0.117725,-0.790944,0
0.677988,0.665543,-0.30509,2.33062,2.12068,1.30234,0.906944,1.36923,0.882543,0.81053,-1.32451,-1.49666,-0.568488,-1.53322,-1.81183,-0.83974,-1.55995,0.0207939,-0.418835,1.32493,0.0414998,0
-0.153588,0.0296624,0.343074,1.41205,1.787,2.12916,2.35056,0.99124,1.41763,-0.332136,-0.631637,-1.95948,-1.3435,-1.43663,-0.776547,-1.29261,-0.757527,-0.800262,-1.17051,0.742322,1.21494,0
1.84615,-2.02983,0.923897,0.0129943,0.255684,-0.433972,-0.179487,0.842334,0.106966,0.470995,0.718569,-0.293309,0.763563,-1.03325,-0.409987,-1.20977,-0.386259,0.25437,-1.02853,-1.26445,-1.12192,0
0.173102,-1.09025,1.54681,-1.11049,-1.40672,-0.097733,0.5448,0.533068,1.00279,0.229403,1.96218,1.74974,0.981535,0.807544,-0.523917,-0.0113239,-1.40425,-1.08338,0.157449,-0.228698,-0.911297,1
-0.975264,0.276422,2.0182,1.37672,0.821736,0.414893,0.281874,0.281073,0.245247,-1.82087,-1.2949,0.222412,-0.338406,-0.41965,0.238924,-0.188053,-0.0389425,-0.106611,1.07616,-0.663346,-0.279442,0
1.04428,0.304894,-0.439774,0.260302,-2.05619,-0.207975,-1.6231,0.83088,-0.578428,0.457936,0.416549,2.01421,0.757509,1.53477,0.238924,0.369748,1.35032,-0.212782,-0.494003,-1.33844,-1.01159,1
0.173102,0.428274,0.848138,0.444017,-0.00052911,0.43143,1.19467,1.44941,0.365492,0.0465764,0.807398,-1.60244,-0.671419,-0.357154,-0.49915,-0.712716,-0.703634,-1.38066,-1.67998,-0.543124,1.29518,0
-0.42088,0.570636,1.14276,0.80438,1.8168,2.1016,1.60147,1.42078,0.906592,0.973768,-0.258554,-1.59583,-1.70073,-2.22067,-1.22732,-1.02199,-0.961127,0.027872,-0.736209,-0.182459,-1.62339,0
0.371097,-0.520801,-1.90446,-0.17072,-1.09688,-0.753674,-0.730144,-0.0969195,0.984751,1.20883,1.31076,0.80425,-0.108325,-0.0219486,-0.796361,-0.0941655,-0.476082,-0.078299,-0.661041,-0.43215,-0.881209,1
-1.31185,1.76647,0.132631,0.846776,-1.36501,0.139288,0.435661,-0.0625566,1.33346,0.614645,0.375095,1.06211,-0.816734,0.199628,-1.96539,-2.14864,-1.21862,-0.616232,-1.09534,-0.0067509,0.502854,0
-0.222886,1.57666,1.19326,-0.234314,2.04322,0.784205,1.98841,0.865243,1.73628,-0.364783,-0.465822,-0.346203,-1.36166,-1.18097,-0.142497,-0.701671,-0.506023,-0.488827,-1.21227,0.353914,0.432648,0
0.737386,-0.198116,-0.414521,0.0624559,-1.0373,-0.610359,0.639057,0.928242,2.10303,0.836648,0.588286,0.0505049,-0.52005,-0.777582,-1.02918,-0.304031,-1.23658,0.0632623,0.182505,-2.65163,-1.17206,0
0.143403,0.0960977,-4.10148,-0.114193,-0.131615,-1.18913,-0.129879,0.183711,0.365492,0.431818,1.23378,1.61089,1.74444,0.159858,-0.58336,-1.14902,-1.51803,-0.170314,0.89242,0.0209925,0.0816176,1
-1.27226,0.0960977,-0.330343,-0.912644,0.654899,-1.54742,-0.859127,-1.23662,-0.494257,-0.95244,-1.21791,0.777803,-0.126489,0.0632732,1.40795,0.706637,0.997017,0.282682,1.44365,1.55613,-0.610414,0
-0.806969,-2.01085,-0.902749,-1.44259,-1.79998,-1.29386,-1.0278,-0.142737,-0.337939,-1.9841,-1.22383,0.0372813,1.36299,1.55181,1.42777,0.546476,-0.703634,0.530415,1.452,1.42666,0.553002,1
0.301799,-0.37844,-1.60984,-1.0045,0.11864,-1.32142,-1.51892,-2.34197,-2.73682,0.000869732,-0.602027,0.612508,0.763563,1.48932,1.39805,1.40803,1.39823,0.650742,1.2265,0.298427,0.292236,0
1.69766,1.29193,-3.56275,-1.14582,-0.286534,-0.670992,-1.34529,-0.772724,-0.47622,0.425289,0.126373,0.195964,0.242852,1.25638,0.0754579,0.137791,1.07486,0.785225,1.83619,0.141214,0.232059,1
0.222601,1.61462,0.326239,-0.559347,1.33416,1.85907,0.510074,0.653338,1.32144,0.758294,0.505378,-0.894982,-0.689584,-0.544642,-0.627941,-1.09379,-1.24257,0.155277,-2.02241,0.779313,0.101677,0
1.33137,-0.596728,-0.397685,-1.15995,-1.45439,0.199921,-0.169566,-1.30535,-0.380025,-1.31156,0.422471,0.612508,0.866495,0.534834,1.61105,0.645886,0.925159,1.25946,0.583398,-0.126972,0.803738,1
0.420595,-0.188625,1.60573,0.535874,-0.0362798,0.839326,0.470387,1.12869,1.6461,-0.397431,-0.0512853,-0.108178,-0.24153,-1.49913,-1.47499,-1.3644,-0.266494,-0.453436,0.349544,-1.03326,0.964209,0
0.747286,0.760451,-0.717559,-1.77469,-0.00052911,-0.367826,-1.88107,0.693428,0.654079,1.54184,1.47658,1.17451,0.630358,1.07457,-0.51401,-0.635397,-0.757527,-0.665778,-0.56917,-0.487637,-1.51306,1
-1.06436,0.323876,-0.0188877,-1.27301,-1.21605,-0.626896,-1.40482,-1.2309,-1.62456,-0.887145,-0.400681,-0.637122,0.58192,1.4041,1.13551,1.1595,0.937135,0.551649,0.115689,0.224444,-0.931356,0
-0.0446913,1.03568,0.141049,-1.14582,-1.23393,-0.516653,-0.725183,-1.08772,1.03285,0.777883,0.854774,0.0769521,1.06025,1.62567,0.0605973,0.126745,1.1587,0.112809,1.17639,-0.26569,0.512884,1
-0.054591,0.12457,0.528264,0.373357,0.136515,-0.00953926,0.619213,-0.039648,0.251259,1.09783,0.955447,1.18773,-0.465557,0.290531,-0.722058,-1.05513,0.0748334,-0.757793,0.215913,-1.18122,-1.71365,0
-0.77727,-0.786543,-0.0862295,-0.516952,0.208016,-0.527678,-1.2808,-0.291643,-0.253768,-1.41604,-0.898125,-1.11317,0.787783,-0.101489,1.34356,1.34728,1.88327,1.17452,-0.0346455,-0.302681,-0.710709,0
-0.935665,-0.0272821,1.91719,0.797314,-0.524872,-0.108757,0.768039,1.05424,0.533834,1.28719,-0.382915,1.01583,-0.459502,-0.175348,-0.974687,-0.425532,-0.398235,-1.04799,-0.101461,0.936526,0.131765,0
-0.519877,1.4248,0.898644,-1.40726,0.0650137,-0.207975,1.05081,0.0634409,0.503773,0.216344,0.529066,1.10839,0.448715,-0.976433,-1.51462,-0.635397,-1.62582,-1.64255,-0.22674,-1.02401,0.191942,0
0.58889,0.0486439,-0.877496,1.28486,0.0113878,0.657426,1.29389,1.3406,0.52181,0.856237,-0.631637,-0.59084,-2.25777,-0.618501,-2.10409,-0.790035,-1.3803,0.155277,-0.861488,-0.580115,-0.0788535,0
-0.569376,-1.5458,0.486176,-0.00820356,-1.18626,-0.654456,-0.93354,-1.19081,-1.73278,-1.03079,-0.939578,-0.77597,0.927042,1.67681,1.03149,1.96583,1.31439,0.62243,1.41859,0.224444,-0.670591,0
-0.0149921,0.238459,1.41213,1.39792,0.851528,2.25043,1.07561,1.8904,0.143039,-0.632494,-0.2171,-0.742911,-1.26479,-0.510554,-1.77716,-0.928104,-0.913221,-0.488827,0.157449,-0.663346,0.542972,0
-0.806969,-0.13168,1.01649,0.323896,1.28649,0.530648,1.41295,1.00842,1.11101,-0.312547,-0.371071,-1.39087,-0.435283,-1.83433,-0.419894,-1.48038,-1.11682,0.700288,-0.903248,-0.163964,1.31524,0
-1.12376,0.086607,0.856556,1.27073,1.97767,1.74882,0.901983,0.87097,0.834446,-0.201545,-0.815217,-2.5281,-1.99136,-0.902574,-0.905338,-0.867354,-1.027,-0.977213,0.625158,0.00249691,-1.02162,0
-0.509978,0.12457,0.536682,-0.665336,-0.256742,-0.87494,0.0487128,-1.00754,-1.30591,0.222873,-1.31266,0.14307,-0.592707,-0.345791,1.56151,0.540954,1.08684,-0.396812,2.04499,2.29595,-1.91424,0
-0.331783,0.646562,1.10067,0.903303,0.434437,2.39925,1.41791,0.848061,1.08696,0.470995,-0.572417,-1.93965,-2.09429,-2.62405,-2.35672,-0.0886427,-0.0389425,-0.559607,-1.21227,-1.04251,0.312295,0
-1.54945,0.0581347,-0.818571,1.05875,-0.667874,-1.13401,-0.487062,-0.537911,-1.1075,-0.606376,-0.631637,-0.0883429,-0.11438,-0.220799,1.94789,1.52401,-0.254518,1.9885,0.474823,0.464888,1.0645,0
1.63826,-0.796033,1.26061,0.182577,2.50202,1.50078,2.07275,1.81595,0.293345,0.477525,-0.205256,-1.93303,-2.53629,-1.83433,-1.33629,-0.558079,-1.25455,-1.19663,-1.5547,0.936526,-0.780915,0
1.59866,-1.859,-0.414521,-0.891447,-0.733417,-0.979671,-2.05966,-1.6318,-1.90713,-1.37033,-0.76192,0.566225,0.969426,1.50068,1.56151,2.12047,0.224539,0.671976,-0.0346455,-0.26569,0.773649,1
1.29177,0.352348,-0.456609,-2.00787,-0.41762,-0.108757,-0.501944,-0.0854652,-0.235731,0.699528,0.126373,1.82247,0.485044,-0.521916,0.838299,-0.193575,-0.140742,-0.134924,-0.677745,0.224444,0.623208,1
0.143403,0.181515,0.0568718,0.359226,2.25176,1.77087,1.51217,1.06569,1.03886,-0.998147,-0.696778,-1.08672,-1.3435,-1.36277,-1.58892,-1.49143,-0.523987,-2.10263,-0.702801,-0.43215,-1.99448,0
0.479994,0.0201717,0.511429,-0.184852,0.434437,0.993665,0.688666,1.00269,-0.524318,0.595056,0.712647,-1.25202,-1.2224,-1.4139,-0.206892,-0.320599,0.134716,-1.05507,0.149097,-1.13498,1.32527,0
0.450294,0.694015,0.141049,-0.834919,-0.41762,0.266066,0.0139867,-0.406186,0.618005,-1.03732,-0.0453633,0.73152,0.793837,0.847314,0.674833,-0.24328,1.58985,-0.085377,-0.00123776,0.575861,-1.45289,1
-0.0941898,0.532673,2.02662,0.465215,2.11472,0.607817,1.13018,0.842334,-0.680636,-0.2799,-0.365149,-0.8487,-0.707748,-0.37988,-0.187078,-0.712716,-0.595846,0.0703404,-0.52741,1.95379,-0.0688241,0
-0.668373,-1.38446,-2.97351,-0.248446,0.00542933,-0.544214,-1.61318,-0.37755,0.828433,-0.351724,0.031622,0.414154,0.587975,0.210991,1.04139,0.424975,1.17068,0.00663781,0.199209,0.45564,-1.17206,1
0.707687,1.21601,-1.09636,-1.14582,-0.906212,-1.48127,-0.918658,0.515886,-0.710697,0.392641,1.21009,1.48527,1.36904,1.01776,-0.107822,-0.149393,-0.961127,-1.64255,-1.14545,0.0857272,-1.21218,1
