label,x,y
hypotension_diagnosed-10,-40.135315,14.819636
hypotension_diagnosed-10,-35.80818,7.112104
hypotension_diagnosed-10,-46.91825,-19.687473
hypotension_diagnosed-10,-41.68486,-17.51479
hypotension_diagnosed-10,-43.151073,-21.101267
hypotension_diagnosed-10,-45.914467,2.382871
hypotension_diagnosed-10,-46.02587,-25.38106
hypotension_diagnosed-10,-45.22603,-15.217837
hypotension_diagnosed-10,-44.18689,-25.536524
hypotension_diagnosed-10,-33.526012,10.709973
hypotension_diagnosed-10,-41.99546,7.5036564
hypotension_diagnosed-10,37.221977,0.35130864
hypotension_diagnosed-10,-42.61808,-18.11455
hypotension_diagnosed-10,-12.726731,17.545918
hypotension_diagnosed-10,-10.219641,16.626022
hypotension_diagnosed-10,-45.93239,-17.220846
hypotension_diagnosed-10,0.9379944,10.458406
hypotension_diagnosed-10,-31.705563,12.84366
hypotension_diagnosed-10,-29.649038,18.073586
hypotension_diagnosed-10,-13.8314085,20.730085
hypotension_diagnosed-10,-45.111237,-27.336382
hypotension_diagnosed-10,-0.47502136,10.374741
hypotension_diagnosed-10,-36.64942,17.941423
hypotension_diagnosed-10,-44.76323,12.6969795
hypotension_diagnosed-10,-42.182552,-20.858173
hypotension_diagnosed-10,-41.356377,12.0681095
hypotension_diagnosed-10,-14.855306,23.615885
hypotension_diagnosed-10,-50.878944,0.6744482
hypotension_diagnosed-10,-35.402153,16.600769
hypotension_diagnosed-10,-10.500126,27.331648
hypotension_diagnosed-10,45.51185,-3.8284667
hypotension_diagnosed-10,-44.66973,-16.153316
hypotension_diagnosed-10,-13.415674,18.095722
hypotension_diagnosed-10,-10.992485,17.7558
hypotension_diagnosed-10,-28.957972,16.044586
hypotension_diagnosed-10,0.55322206,12.971956
hypotension_diagnosed-10,-3.6861053,7.781364
hypotension_diagnosed-10,-9.037317,17.264723
hypotension_diagnosed-10,-43.9984,-21.47903
hypotension_diagnosed-10,-9.284536,24.92416
hypotension_diagnosed-10,-36.932873,7.7825923
hypotension_diagnosed-10,-41.6638,10.041028
hypotension_diagnosed-10,-49.8928,1.378498
hypotension_diagnosed-10,27.424074,-11.305099
hypotension_diagnosed-10,9.567747,-26.11413
hypotension_diagnosed-10,-42.98283,5.9334826
hypotension_diagnosed-10,-1.9901108,14.687319
hypotension_diagnosed-10,-42.26995,-19.312979
hypotension_diagnosed-10,-4.323323,12.10463
hypotension_diagnosed-10,-36.159904,8.728253
hypotension_diagnosed-10,-3.5474567,14.778214
hypotension_diagnosed-10,2.8137944,6.122853
hypotension_diagnosed-10,-43.321087,-18.434376
hypotension_diagnosed-10,-46.606457,-27.50493
hypotension_diagnosed-10,-46.955505,-25.70598
hypotension_diagnosed-10,-33.265484,11.397845
hypotension_diagnosed-10,-2.0553231,12.036029
hypotension_diagnosed-10,-34.499924,16.174484
hypotension_diagnosed-10,-50.510677,2.495065
hypotension_diagnosed-10,-35.48446,11.838864
hypotension_diagnosed-10,-36.535107,18.95064
hypotension_diagnosed-10,-47.87962,-29.021584
hypotension_diagnosed-10,-44.65642,2.0557668
hypotension_diagnosed-10,-46.280495,-22.998772
hypotension_diagnosed-10,-4.1810555,5.1007476
hypotension_diagnosed-10,-45.98262,-16.30687
hypotension_diagnosed-10,-41.188705,-20.315748
hypotension_diagnosed-10,-31.830076,19.73133
hypotension_diagnosed-10,-50.989956,1.6057647
hypotension_diagnosed-10,-45.435936,-24.076979
hypotension_diagnosed-10,-37.799465,7.556791
hypotension_diagnosed-10,-44.68153,11.921358
hypotension_diagnosed-10,-3.9666204,6.587413
hypotension_diagnosed-10,3.109976,-7.964372
hypotension_diagnosed-10,-0.17527294,-10.561262
hypotension_diagnosed-10,-46.770866,2.2649012
hypotension_diagnosed-10,-27.64962,18.781353
hypotension_diagnosed-10,-45.209087,-18.03375
hypotension_diagnosed-10,-45.146564,-25.595667
hypotension_diagnosed-10,-32.39607,18.891333
hypotension_diagnosed-10,-41.701035,17.738644
hypotension_diagnosed-10,-36.0623,12.836434
hypotension_diagnosed-10,-35.311867,15.5844145
hypotension_diagnosed-10,25.302343,-13.600155
hypotension_diagnosed-10,-46.813732,-28.763357
hypotension_diagnosed-10,-31.193562,20.303625
hypotension_diagnosed-10,-28.568146,18.207603
hypotension_diagnosed-10,-43.845318,-16.983881
hypotension_diagnosed-10,-35.89583,13.827213
hypotension_diagnosed-10,-48.342392,-27.315905
hypotension_diagnosed-10,-46.635387,3.3164854
hypotension_diagnosed-10,-45.78686,4.8824544
hypotension_diagnosed-10,-6.903864,5.863109
hypotension_diagnosed-10,-8.004405,25.189299
hypotension_diagnosed-10,15.691676,-32.442642
hypotension_diagnosed-10,-44.308292,6.3275566
hypotension_diagnosed-10,-47.710564,-27.823135
hypotension_diagnosed-10,-46.303806,0.8208246
hypotension_diagnosed-10,-6.1429715,15.699387
hypotension_diagnosed-10,-0.1815145,13.581066
diabetes_diagnosed-10,7.0870223,-30.237991
diabetes_diagnosed-10,-9.851642,17.516085
diabetes_diagnosed-10,12.676282,-30.012484
diabetes_diagnosed-10,7.9852495,-32.20961
diabetes_diagnosed-10,1.7660866,-2.020634
diabetes_diagnosed-10,-4.441267,7.630706
diabetes_diagnosed-10,16.548447,-23.91682
diabetes_diagnosed-10,39.95845,8.334298
diabetes_diagnosed-10,1.0251545,-11.645703
diabetes_diagnosed-10,16.028915,-31.65054
diabetes_diagnosed-10,-46.018093,9.104404
diabetes_diagnosed-10,-38.541542,19.256609
diabetes_diagnosed-10,-10.544229,24.367285
diabetes_diagnosed-10,-12.025484,23.231081
diabetes_diagnosed-10,-42.12824,10.716526
diabetes_diagnosed-10,49.233685,16.878347
diabetes_diagnosed-10,-5.2542577,6.6670127
diabetes_diagnosed-10,14.533308,-24.202812
diabetes_diagnosed-10,-8.566877,22.578379
diabetes_diagnosed-10,-33.795773,19.719517
diabetes_diagnosed-10,-45.09219,6.6915083
diabetes_diagnosed-10,15.406567,-26.49301
diabetes_diagnosed-10,39.09674,-11.494753
diabetes_diagnosed-10,-40.664005,11.862692
diabetes_diagnosed-10,35.654186,-14.19716
diabetes_diagnosed-10,-3.8622117,-1.261026
diabetes_diagnosed-10,10.450807,-21.6662
diabetes_diagnosed-10,4.3858747,-8.267551
diabetes_diagnosed-10,-11.884662,21.87057
diabetes_diagnosed-10,3.7451606,-9.190044
diabetes_diagnosed-10,49.860615,12.01949
diabetes_diagnosed-10,-1.1678163,-1.3709079
diabetes_diagnosed-10,1.5296482,-20.501139
diabetes_diagnosed-10,-8.929045,1.5011292
diabetes_diagnosed-10,-2.090379,2.1675565
diabetes_diagnosed-10,37.691814,-6.5096292
diabetes_diagnosed-10,-1.3993388,5.3412666
diabetes_diagnosed-10,3.214335,-19.789028
diabetes_diagnosed-10,2.8506036,-9.466932
