label,x,y
hypotension_diagnosed-10,-27.727774,-20.19862
hypotension_diagnosed-10,-22.282192,17.110258
hypotension_diagnosed-10,-41.7589,4.448698
hypotension_diagnosed-10,-24.959232,-43.74608
hypotension_diagnosed-10,-27.46386,-28.77508
hypotension_diagnosed-10,-33.28014,-23.829828
hypotension_diagnosed-10,-33.07519,-22.669567
hypotension_diagnosed-10,-26.952236,-25.651236
hypotension_diagnosed-10,-23.886656,-36.90888
hypotension_diagnosed-10,-16.412542,-25.774632
hypotension_diagnosed-10,-33.764553,-1.7960024
hypotension_diagnosed-10,13.905739,-9.266576
hypotension_diagnosed-10,-25.681265,-44.30564
hypotension_diagnosed-10,-23.271362,-38.415226
hypotension_diagnosed-10,-16.485237,-39.00488
hypotension_diagnosed-10,-27.141016,-19.061037
hypotension_diagnosed-10,-19.140501,-39.02196
hypotension_diagnosed-10,-16.482624,-22.819447
hypotension_diagnosed-10,-21.414412,-41.736736
hypotension_diagnosed-10,-9.595764,-23.529787
hypotension_diagnosed-10,-23.702932,-46.39844
hypotension_diagnosed-10,-18.664108,-38.187687
hypotension_diagnosed-10,-15.70945,-26.860828
hypotension_diagnosed-10,-24.651398,19.152037
hypotension_diagnosed-10,-26.853636,-30.956192
hypotension_diagnosed-10,-27.43365,-31.747704
hypotension_diagnosed-10,-28.376947,11.992715
hypotension_diagnosed-10,-19.336689,-24.616936
hypotension_diagnosed-10,-27.945333,2.2025414
hypotension_diagnosed-10,-24.846266,21.977375
hypotension_diagnosed-10,15.723744,-7.5404525
hypotension_diagnosed-10,-31.999723,-23.323044
hypotension_diagnosed-10,-15.428256,-22.10498
hypotension_diagnosed-10,-19.792158,-37.76834
hypotension_diagnosed-10,-0.27266383,-15.962903
hypotension_diagnosed-10,-15.613915,-37.352173
hypotension_diagnosed-10,-10.684563,-20.859198
hypotension_diagnosed-10,-15.990622,-30.011002
hypotension_diagnosed-10,-41.89812,5.382142
hypotension_diagnosed-10,-24.980392,-45.07438
hypotension_diagnosed-10,-34.266705,-0.4099368
hypotension_diagnosed-10,-35.986725,-1.1438458
hypotension_diagnosed-10,-16.275309,9.119876
hypotension_diagnosed-10,4.2963953,2.3906033
hypotension_diagnosed-10,-21.034105,-36.582058
hypotension_diagnosed-10,-26.923605,-32.65056
hypotension_diagnosed-10,-8.889993,-21.206482
hypotension_diagnosed-10,-22.723673,-36.269993
hypotension_diagnosed-10,-7.4303074,-6.89619
hypotension_diagnosed-10,-10.165018,-24.117289
hypotension_diagnosed-10,-20.053192,-40.35478
hypotension_diagnosed-10,-24.72605,7.7264104
hypotension_diagnosed-10,-25.99994,-31.791351
hypotension_diagnosed-10,-28.011175,14.536902
hypotension_diagnosed-10,-24.748837,-22.213661
hypotension_diagnosed-10,-15.0407,-36.400467
hypotension_diagnosed-10,-16.846436,-29.545082
hypotension_diagnosed-10,-25.764334,9.954238
hypotension_diagnosed-10,-21.804996,-38.569653
hypotension_diagnosed-10,-20.511154,-24.187237
hypotension_diagnosed-10,-28.572094,0.96845865
hypotension_diagnosed-10,-41.006046,6.0780706
hypotension_diagnosed-10,-35.277733,2.1701155
hypotension_diagnosed-10,-32.50834,-24.623682
hypotension_diagnosed-10,-6.130897,-3.7681212
hypotension_diagnosed-10,-33.119583,0.62631726
hypotension_diagnosed-10,-22.742863,-45.34473
hypotension_diagnosed-10,-6.6119657,10.618089
hypotension_diagnosed-10,-22.432346,-37.559494
hypotension_diagnosed-10,-32.290134,1.9682877
hypotension_diagnosed-10,-8.190732,-7.124789
hypotension_diagnosed-10,-36.641304,7.565628
hypotension_diagnosed-10,-14.367011,-31.709404
hypotension_diagnosed-10,-13.172352,-34.180393
hypotension_diagnosed-10,-16.134312,-40.48991
hypotension_diagnosed-10,-26.577162,-20.323923
hypotension_diagnosed-10,-1.308781,11.6893
hypotension_diagnosed-10,-34.264008,2.1888669
hypotension_diagnosed-10,-31.681616,-25.30924
hypotension_diagnosed-10,-15.049319,-29.93733
hypotension_diagnosed-10,-36.555958,8.764375
hypotension_diagnosed-10,-15.285819,-25.103855
hypotension_diagnosed-10,-21.92671,-23.395668
hypotension_diagnosed-10,0.93186677,-13.18568
hypotension_diagnosed-10,-28.452452,-28.0429
hypotension_diagnosed-10,-26.13915,-45.218243
hypotension_diagnosed-10,-14.677601,-33.31958
hypotension_diagnosed-10,-25.839115,-23.427204
hypotension_diagnosed-10,-14.890525,11.105811
hypotension_diagnosed-10,-34.458218,-23.029465
hypotension_diagnosed-10,-26.931156,-21.581423
hypotension_diagnosed-10,-24.211182,-23.54701
hypotension_diagnosed-10,-5.0745897,-4.0200834
hypotension_diagnosed-10,-15.503872,-28.403833
hypotension_diagnosed-10,-14.832554,-40.325905
hypotension_diagnosed-10,-37.493053,7.2604
hypotension_diagnosed-10,-40.751984,4.6052847
hypotension_diagnosed-10,-27.15665,7.623208
hypotension_diagnosed-10,-15.5259075,-33.565998
hypotension_diagnosed-10,-22.260109,-46.100445
diabetes_diagnosed-10,22.302025,24.231504
diabetes_diagnosed-10,-27.542856,3.6504726
diabetes_diagnosed-10,22.115568,-4.390918
diabetes_diagnosed-10,42.93701,-1.5798331
diabetes_diagnosed-10,22.898315,19.110104
diabetes_diagnosed-10,2.2617228,2.3464425
diabetes_diagnosed-10,5.373518,-16.774576
diabetes_diagnosed-10,39.911236,-3.3302846
diabetes_diagnosed-10,3.3149815,1.6540827
diabetes_diagnosed-10,18.592766,-3.9706066
diabetes_diagnosed-10,-36.49829,2.523117
diabetes_diagnosed-10,-36.020718,10.686397
diabetes_diagnosed-10,-28.633001,10.726181
diabetes_diagnosed-10,-24.196299,18.126135
diabetes_diagnosed-10,-30.864439,2.548302
diabetes_diagnosed-10,46.809715,-6.2440095
diabetes_diagnosed-10,-0.19693562,4.9786167
diabetes_diagnosed-10,15.58421,12.622197
diabetes_diagnosed-10,12.280802,12.352339
diabetes_diagnosed-10,-22.218342,20.460762
diabetes_diagnosed-10,-16.335487,10.138492
diabetes_diagnosed-10,35.662605,17.579464
diabetes_diagnosed-10,31.642984,-4.3336415
diabetes_diagnosed-10,-19.885378,-22.773457
diabetes_diagnosed-10,21.07882,-4.2964587
diabetes_diagnosed-10,5.62398,27.67011
diabetes_diagnosed-10,-6.2826266,13.243668
diabetes_diagnosed-10,34.421913,17.638384
diabetes_diagnosed-10,-24.901333,12.078431
diabetes_diagnosed-10,7.4633937,20.898819
diabetes_diagnosed-10,37.457962,-8.554358
diabetes_diagnosed-10,31.241823,25.31853
diabetes_diagnosed-10,-17.636238,10.26392
diabetes_diagnosed-10,7.3204327,32.348015
diabetes_diagnosed-10,-0.12884535,2.9029703
diabetes_diagnosed-10,35.788624,18.963285
diabetes_diagnosed-10,11.473211,15.522573
diabetes_diagnosed-10,7.032568,-2.6564214
diabetes_diagnosed-10,12.195416,10.99425
diabetes_diagnosed-10,6.2234826,-7.390149
diabetes_diagnosed-10,-26.116182,21.14505
diabetes_diagnosed-10,9.053012,27.468142
diabetes_diagnosed-10,-21.090708,14.840632
diabetes_diagnosed-10,31.53837,24.08383
diabetes_diagnosed-10,16.682909,21.035782
diabetes_diagnosed-10,32.70532,15.4264
diabetes_diagnosed-10,-36.654503,0.9128047
diabetes_diagnosed-10,11.595469,24.741852
diabetes_diagnosed-10,-4.2870026,-1.5205637
diabetes_diagnosed-10,38.57701,-5.297875
diabetes_diagnosed-10,-25.838064,19.177769
diabetes_diagnosed-10,33.12445,-4.8353705
diabetes_diagnosed-10,0.9408771,12.898421
diabetes_diagnosed-10,-6.6126356,-2.8074934
diabetes_diagnosed-10,44.777206,-1.5756745
diabetes_diagnosed-10,25.25379,19.831627
diabetes_diagnosed-10,32.62391,24.651196
diabetes_diagnosed-10,39.587738,-4.6318355
diabetes_diagnosed-10,30.314972,11.397191
diabetes_diagnosed-10,32.230347,-5.6742687
diabetes_diagnosed-10,2.5359812,-12.656203
diabetes_diagnosed-10,-15.240188,9.687193
diabetes_diagnosed-10,-9.96873,-21.725363
