label,x,y
cylinder-bands,42.951927,-3.4697375
cylinder-bands,23.564968,3.900705
cylinder-bands,31.378567,-10.0321665
cylinder-bands,41.681915,4.9907002
cylinder-bands,32.741726,-4.401666
cylinder-bands,21.428493,28.18913
cylinder-bands,22.116287,16.341892
cylinder-bands,36.69609,-2.6467874
cylinder-bands,44.961914,-2.962756
cylinder-bands,26.023232,15.807111
cylinder-bands,20.704947,17.616716
cylinder-bands,30.643063,11.731218
cylinder-bands,18.353321,25.817001
cylinder-bands,40.408035,3.873228
cylinder-bands,38.7985,5.391598
cylinder-bands,16.912106,-27.498232
cylinder-bands,44.043865,-1.0361485
cylinder-bands,19.055046,20.959562
cylinder-bands,36.57393,-3.2781315
cylinder-bands,28.557058,9.774886
cylinder-bands,47.684708,-0.9082252
cylinder-bands,17.655865,27.738733
cylinder-bands,38.784725,4.5361676
cylinder-bands,49.00121,-2.7983153
cylinder-bands,27.109144,7.304618
cylinder-bands,36.155952,5.4045167
cylinder-bands,32.06454,-10.316139
cylinder-bands,28.89559,11.494041
cylinder-bands,29.5749,16.0596
cylinder-bands,18.43475,22.357775
cylinder-bands,17.122267,26.784712
cylinder-bands,37.67296,1.0723678
cylinder-bands,27.705523,8.209923
cylinder-bands,28.897518,-7.1670947
cylinder-bands,21.141655,17.095747
cylinder-bands,23.535799,15.575576
cylinder-bands,50.103207,-3.4506707
cylinder-bands,48.248158,-2.0437057
cylinder-bands,27.430183,2.095144
cylinder-bands,44.537342,-1.3866501
cylinder-bands,20.039314,26.958063
cylinder-bands,38.066963,7.6692944
cylinder-bands,25.721266,-3.7774189
cylinder-bands,31.32278,-6.296802
cylinder-bands,42.070057,-4.697564
cylinder-bands,47.804386,-3.0884027
cylinder-bands,24.605646,2.7723894
cylinder-bands,8.061753,18.24317
cylinder-bands,28.729153,-0.029471232
cylinder-bands,26.682707,12.041942
cylinder-bands,37.474575,-2.7255177
cylinder-bands,35.2845,7.015634
cylinder-bands,29.782911,14.303439
cylinder-bands,25.949587,0.33858517
cylinder-bands,32.85853,2.4163287
cylinder-bands,21.990652,28.429804
cylinder-bands,22.18907,4.29606
cylinder-bands,32.17222,1.3791332
cylinder-bands,19.697662,25.947437
cylinder-bands,31.762373,-5.9793835
cylinder-bands,-1.5332133,11.411184
cylinder-bands,32.241627,-3.8194637
cylinder-bands,31.41368,-11.881167
cylinder-bands,31.516733,12.322559
cylinder-bands,28.341257,7.314626
cylinder-bands,40.598587,5.076265
