score,no,method,model,name,fold
0.75,0,rank,logistic,pittsburg-bridges-TYPE,0
0.75,1,rank,logistic,pittsburg-bridges-TYPE,0
0.75,2,rank,logistic,pittsburg-bridges-TYPE,0
0.75,3,rank,logistic,pittsburg-bridges-TYPE,0
0.75,4,rank,logistic,pittsburg-bridges-TYPE,0
0.75,5,rank,logistic,pittsburg-bridges-TYPE,0
0.75,6,rank,logistic,pittsburg-bridges-TYPE,0
0.75,7,rank,logistic,pittsburg-bridges-TYPE,0
0.75,8,rank,logistic,pittsburg-bridges-TYPE,0
0.75,9,rank,logistic,pittsburg-bridges-TYPE,0
0.75,10,rank,logistic,pittsburg-bridges-TYPE,0
0.75,11,rank,logistic,pittsburg-bridges-TYPE,0
0.75,12,rank,logistic,pittsburg-bridges-TYPE,0
0.75,13,rank,logistic,pittsburg-bridges-TYPE,0
0.75,14,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,15,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,16,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,17,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,18,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,19,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,20,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,21,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,22,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,23,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,24,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,25,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,26,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,27,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,28,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,29,rank,logistic,pittsburg-bridges-TYPE,0
0.75390625,0,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,1,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,2,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,3,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,4,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,5,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,6,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,7,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,8,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,9,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,10,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,11,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,12,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,13,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,14,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,15,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,16,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,17,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,18,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,19,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,20,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,21,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,22,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,23,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,24,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,25,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,26,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,27,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,28,baseline,logistic,pittsburg-bridges-TYPE,0
0.75390625,29,baseline,logistic,pittsburg-bridges-TYPE,0
0.75,0,d2v,logistic,pittsburg-bridges-TYPE,0
0.75,1,d2v,logistic,pittsburg-bridges-TYPE,0
0.75,2,d2v,logistic,pittsburg-bridges-TYPE,0
0.75,3,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,4,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,5,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,6,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,7,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,8,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,9,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,10,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,11,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,12,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,13,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,14,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,15,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,16,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,17,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,18,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,19,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,20,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,21,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,22,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,23,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,24,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,25,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,26,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,27,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,28,d2v,logistic,pittsburg-bridges-TYPE,0
0.796875,29,d2v,logistic,pittsburg-bridges-TYPE,0
0.75,0,liltab,logistic,pittsburg-bridges-TYPE,0
0.75,1,liltab,logistic,pittsburg-bridges-TYPE,0
0.75,2,liltab,logistic,pittsburg-bridges-TYPE,0
0.75,3,liltab,logistic,pittsburg-bridges-TYPE,0
0.75,4,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,5,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,6,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,7,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,8,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,9,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,10,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,11,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,12,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,13,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,14,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,15,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,16,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,17,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,18,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,19,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,20,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,21,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,22,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,23,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,24,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,25,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,26,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,27,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,28,liltab,logistic,pittsburg-bridges-TYPE,0
0.79296875,29,liltab,logistic,pittsburg-bridges-TYPE,0
0.75,0,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,1,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,2,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,3,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,4,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,5,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,6,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,7,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,8,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,9,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,10,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,11,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,12,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,13,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,14,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,15,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,16,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,17,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,18,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,19,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,20,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,21,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,22,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,23,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,24,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,25,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,26,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,27,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,28,rank,xgboost,pittsburg-bridges-TYPE,0
0.75,29,rank,xgboost,pittsburg-bridges-TYPE,0
0.5,0,baseline,xgboost,pittsburg-bridges-TYPE,0
0.5,1,baseline,xgboost,pittsburg-bridges-TYPE,0
0.7421875,2,baseline,xgboost,pittsburg-bridges-TYPE,0
0.7421875,3,baseline,xgboost,pittsburg-bridges-TYPE,0
0.7421875,4,baseline,xgboost,pittsburg-bridges-TYPE,0
0.7421875,5,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,6,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,7,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,8,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,9,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,10,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,11,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,12,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,13,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,14,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,15,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,16,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,17,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,18,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,19,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,20,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,21,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,22,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,23,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75390625,24,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75390625,25,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75390625,26,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75390625,27,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75390625,28,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75390625,29,baseline,xgboost,pittsburg-bridges-TYPE,0
0.75,0,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,1,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,2,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,3,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,4,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,5,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,6,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,7,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,8,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,9,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,10,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,11,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,12,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,13,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,14,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,15,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,16,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,17,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,18,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,19,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,20,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,21,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,22,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,23,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,24,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,25,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,26,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,27,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,28,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,29,d2v,xgboost,pittsburg-bridges-TYPE,0
0.75,0,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,1,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,2,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,3,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,4,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,5,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,6,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,7,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,8,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,9,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,10,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,11,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,12,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,13,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,14,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,15,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,16,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,17,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,18,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,19,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,20,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,21,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,22,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,23,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,24,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,25,liltab,xgboost,pittsburg-bridges-TYPE,0
0.75,26,liltab,xgboost,pittsburg-bridges-TYPE,0
