feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,label
0.347937,0.720619,2.16482,0.767382,-2.42158,0.913227,-2.14952,0.9627,1.69196,0.929584,1.70762,0.963054,1.83196,1.00462,-2.33683,1.00005,2.02032,1.0229,1.97278,1.08769,1.91387,1.05591,2.00473,1.04394,2.10658,0.887941,1.03548,-0.657153,0.054938,1.13299,-1.93975,1.24485,-2.16613,0
0.347937,0.423437,0.788674,-0.408182,1.40715,-0.936794,1.67003,-1.85005,1.45932,-2.19784,0.696741,-2.14039,0.0288283,-1.843,-0.832454,-1.68643,-1.10516,-0.881397,-1.61172,-0.0856888,-1.56949,0.470404,-0.559088,0.660394,-0.318692,0.33967,0.514463,-0.000252108,1.20283,-0.2727,1.29863,-0.883004,1.35554,1
-2.8659,-3.2978,2.16482,-1.15621,-0.25149,-1.1166,-0.229209,-2.98156,1.69196,0.929584,1.70762,-0.644182,-0.188763,-0.527182,-0.155185,1.00005,-2.00576,-2.17062,1.97278,1.08769,1.91387,-0.600356,0.108835,-2.41358,-1.82659,0.887941,-1.69167,1.0793,2.02354,-2.36667,1.95452,-0.66843,-0.0309181,0
-2.8659,0.720619,2.16482,0.767382,-2.42158,-1.1166,-0.229209,-1.00943,-0.374796,-2.61968,-2.33428,-0.644182,-0.188763,-0.527182,-0.155185,-2.23609,2.02032,1.0229,1.97278,-2.19192,1.91387,-2.25662,2.00473,1.04394,-1.82659,0.887941,1.94452,-2.39361,2.02354,1.13299,1.95452,-0.66843,-0.0309181,0
0.347937,0.720619,0.050241,0.767382,-0.650526,0.913227,-0.753837,0.9627,-1.26571,0.929584,-1.14897,0.902493,-1.23699,0.862327,-1.44272,0.825783,-1.33087,0.541894,-1.32147,0.606326,-1.4889,0.444434,-1.41819,0.280984,-1.61279,-0.134696,-1.44623,0.0426905,-1.59229,-0.0744619,-1.72738,-0.228471,-1.93463,1
0.347937,0.720619,-0.100517,0.767382,-0.25149,-0.101684,0.730945,0.469667,-0.374796,0.773434,-0.0689152,0.787335,0.0983815,0.804287,0.198851,0.595532,0.51054,0.623712,1.00953,0.677739,-0.0160101,1.05591,-0.365138,0.179558,1.12329,0.38318,0.606186,0.645189,0.547089,0.601656,0.573498,0.622899,0.615902,1
0.347937,-0.858037,-0.316268,-0.515018,-0.0964801,-0.729955,0.136572,-0.539867,-0.177959,-0.126749,-0.26521,-0.14671,-0.28499,-0.0530602,-0.259075,-0.155721,-0.232371,-0.041611,0.138024,-0.0445625,-0.0160101,-0.245435,-0.116871,-0.0674122,0.0463464,-0.620976,0.0847918,-0.326393,0.054938,-0.319421,-0.0322178,-0.387293,-0.0709961,1
0.347937,0.172648,-0.213784,0.560423,-0.176361,0.913227,1.16737,0.299354,-0.49692,0.0100042,-0.653212,0.670682,0.00439775,0.343155,2.02646,0.198377,0.446485,0.493065,0.238934,1.08769,-0.594975,1.03332,-1.78706,0.30529,0.783601,0.0545892,0.393196,0.0768986,0.216009,0.239301,0.292506,1.24485,2.1043,0
0.347937,-0.786288,0.277047,-0.258526,0.327209,-0.730199,0.231012,-0.856276,0.0372938,-0.826061,-0.0117628,-0.682225,0.0171081,-0.583629,-0.017371,-0.678957,0.0768916,-0.625436,0.0757976,-0.592684,-0.00912043,-0.628943,0.103659,-0.703784,0.129395,-1.06131,0.115772,-0.662259,0.0447013,-0.618397,-0.000557347,-0.667951,-0.0371316,1
0.347937,-0.348581,0.155647,-0.0216748,-0.237059,0.00857586,-0.0972067,-0.0648991,-0.663501,0.0953819,-0.28645,0.382167,-0.515837,0.512127,-0.227747,0.264556,-0.264982,0.272313,-0.0434142,0.233253,-0.392569,0.24063,-0.147584,0.0319739,-0.256803,-0.00453463,-0.081837,0.382411,-0.00179715,0.322103,-0.221441,0.409109,-0.125615,1
0.347937,-1.28859,-0.100517,-1.15621,-0.25149,0.913227,1.6911,-2.98156,-2.44155,-0.84505,-0.313329,0.963054,-0.413285,-0.527182,-0.155185,-0.61802,0.00728077,-2.17062,1.97278,1.08769,1.91387,1.05591,-1.78706,-0.68482,0.139995,0.887941,-1.69167,-0.657153,0.054938,-0.61684,0.00738697,1.24485,2.1043,0
0.347937,0.30184,0.281215,-1.15621,-0.25149,0.0310866,-0.0972067,-0.231071,1.69196,-0.164318,1.69867,-0.683383,0.886564,-0.163763,0.125374,-0.661077,1.92212,-1.38818,1.68231,-0.719375,0.732843,-1.30546,0.558635,-2.26791,1.72723,-1.71076,1.73086,-2.39361,1.42117,-2.36667,0.257789,-0.66843,-0.0309181,0
0.347937,0.0806459,0.134398,0.325668,-0.17647,0.206545,-0.072742,0.193332,-0.385006,0.557124,-0.0738059,0.31619,-0.0889798,0.429716,0.0549068,0.648475,-0.345625,0.604982,-0.163011,0.245519,0.00305713,0.409768,0.263312,0.467689,-0.112515,0.186146,0.0818646,0.671982,0.0986804,0.45467,-0.132028,0.314191,-0.131081,1
0.347937,0.215343,-0.164196,0.107206,-0.363857,0.519868,-0.175229,0.685556,-0.322817,0.281168,-0.13694,0.506567,-0.0303385,0.59221,-0.0422198,0.652974,-0.552565,0.47962,0.0177906,0.738379,0.118175,-0.0270394,-0.24454,0.445527,0.195276,0.132601,0.00575902,0.272719,-0.361501,0.415981,-0.266244,0.409913,0.0322628,1
-2.8659,0.720619,-2.36586,0.767382,1.9186,0.913227,1.6911,0.9627,1.69196,0.929584,1.70762,0.963054,-2.20948,1.00462,-2.33683,1.00005,2.02032,1.0229,-1.88022,1.08769,1.91387,1.05591,2.00473,1.04394,-1.82659,0.887941,1.94452,1.0793,-1.91367,1.13299,1.95452,1.24485,-2.16613,0
-2.8659,0.720619,-2.36586,-1.15621,-0.25149,-1.1166,-0.229209,0.9627,1.69196,0.929584,-2.33428,-1.79938,1.83196,-0.527182,-0.155185,-2.23609,2.02032,1.0229,1.97278,-2.19192,1.91387,1.05591,1.17527,-2.41358,2.10658,0.887941,1.94452,1.0793,-1.91367,1.13299,1.95452,1.24485,2.1043,0
0.347937,0.244356,-0.276716,0.767382,-0.894488,0.913227,-1.8757,0.568274,-0.248497,-0.0365977,-1.17785,0.963054,-0.44299,1.00462,-1.97727,0.179025,0.0445622,0.739031,-0.0678808,1.05842,-0.40079,1.05591,0.526633,0.518912,-0.380777,0.735831,-0.319899,0.712719,0.0950385,0.914123,-0.520385,1.24485,-1.24878,1
0.347937,0.720619,0.280082,0.754917,0.102973,0.803942,0.411156,0.800176,0.0924967,0.777108,0.436584,0.709914,0.758935,0.713742,0.918727,0.651728,0.979799,0.465489,1.14395,0.375244,1.10469,0.320296,1.33586,0.150359,1.22626,-0.210131,1.38326,-0.0375165,1.55397,-0.0232793,1.30893,-0.245576,1.64917,1
0.347937,-0.325415,-0.380763,-0.333219,-0.519952,0.306371,-0.981489,0.43409,-0.225659,-0.378516,-0.750843,0.151159,0.134128,0.167657,-0.41384,0.0659056,0.131807,0.224522,-0.480036,0.343858,0.342118,0.0997147,0.265189,0.53601,0.525211,-0.0148794,-0.0998725,-0.388628,-0.462588,0.212983,0.0876869,0.199452,-1.13154,1
0.347937,0.481724,-0.100517,0.667682,-0.311037,0.783278,-0.252636,0.770299,-0.336995,0.756451,-0.276365,0.865045,-0.170273,0.939238,-0.148531,1.00005,0.0625185,0.930403,0.0227803,0.937714,0.0310597,0.914515,0.212882,1.03866,0.235926,0.687749,0.166897,0.920486,0.0729508,1.13299,0.114246,1.19818,-0.0569677,1
0.347937,-0.704453,0.126583,-0.707858,0.123784,-1.04029,0.430148,-0.772184,0.169091,-0.733851,0.117194,-0.720124,0.0692225,-0.624191,0.0173171,-0.720412,0.0897549,-0.66058,0.0734087,-0.620429,-0.0214138,-0.64799,0.0865394,-0.71516,0.110398,-1.06644,0.0996093,-0.662016,0.0303305,-0.61516,-0.0110719,-0.662881,-0.044733,1
0.347937,0.720619,-0.0205735,0.767382,0.145225,0.913227,0.28866,0.9627,0.143297,0.929584,0.26826,0.963054,0.592105,1.00462,0.535828,1.00005,1.32987,1.0229,1.08363,1.08769,1.16637,1.05591,1.23608,0.864024,1.48369,0.684572,1.42408,0.829444,1.37684,0.684843,1.67435,0.69943,1.58836,1
0.347937,-0.114026,-0.905302,0.767382,0.515377,0.413404,-0.240039,0.617952,0.0253479,0.0456034,-0.871757,0.416224,-0.0596187,0.541047,0.164687,0.552945,-0.851662,0.641724,0.133188,0.545194,0.379404,0.803727,-0.668044,0.436278,0.0475853,0.0517609,-0.065765,0.260043,-0.207792,-0.343831,-0.230514,0.188087,-0.251037,1
0.347937,0.509753,-0.172283,0.527414,-0.131158,0.700197,-0.202593,0.822107,-0.317506,0.77496,-0.333336,0.867568,-0.220771,0.880249,-0.0817512,0.897513,0.00728077,0.931201,0.0729849,0.931827,-0.000725438,0.868968,0.0750503,0.85908,0.186722,0.674886,0.155716,0.872994,0.0588359,0.911236,0.088349,0.991013,0.0198145,1
0.347937,0.371499,0.0842437,0.364928,-0.428482,0.718892,-0.263256,0.822836,-0.352806,0.577177,-0.134172,0.877565,-0.20309,0.917701,-0.155185,0.891024,0.414176,0.943624,0.0326247,0.948127,-0.00232724,0.732872,0.243292,0.890681,0.453804,0.685056,0.274874,0.691378,0.187583,1.00268,0.359527,1.10237,-0.0309181,1
0.347937,0.527213,-0.136853,0.767382,-0.0774267,0.913227,-0.198407,0.825597,-0.363739,0.815706,-0.345745,0.963054,-0.188763,1.00462,-0.0151893,1.00005,0.104168,0.886284,0.128699,1.03507,0.0252701,1.03819,0.078425,0.979228,0.245169,0.829321,0.207368,0.865736,0.0760021,1.13299,0.184401,1.20392,0.106099,1
0.347937,0.214098,-0.0814886,0.446373,-0.215488,0.56081,-0.181796,0.697547,-0.340054,0.228675,-0.194456,0.627029,-0.0931627,0.659057,-0.0372239,0.428968,0.39636,0.767964,0.127235,0.61682,0.121436,0.540729,0.252487,0.462849,0.305248,0.185274,0.277256,0.408076,0.0880303,0.401335,0.177898,0.390187,0.158924,1
0.347937,-0.779939,0.71385,-1.15621,-0.25149,-1.71783,-2.14952,-1.00943,-0.374796,-0.710267,-0.461707,-0.644182,-0.188763,-0.527182,-0.155185,-0.61802,0.00728077,-0.57386,0.0462836,-0.539669,1.29826,-0.931609,0.747201,-0.864265,0.841989,-0.941372,-1.69167,-0.657153,0.054938,-0.506093,-1.93975,-0.66843,-0.0309181,0
0.347937,0.516383,0.695908,0.139003,1.09902,-0.225544,1.58266,-1.08128,1.28915,-1.25034,1.20913,-1.04819,0.797673,-1.40608,0.464728,-1.69808,0.220481,-1.33007,-0.0730246,-1.88128,-0.132015,-1.15019,-0.793458,-0.907777,-0.91449,-0.910609,-0.817621,-0.23483,-0.800972,0.0233537,-0.577864,0.150549,0.253001,1
0.347937,0.0343739,0.887556,-0.296729,1.37183,-1.00863,1.40509,-1.64105,1.32281,-2.05629,0.745809,-1.99765,-0.0450695,-1.79568,-0.781818,-1.37903,-1.43657,-0.64985,-1.61054,-0.170172,-1.48882,0.338134,-0.879455,0.599645,-0.226675,0.398949,0.557552,0.127464,1.21781,-0.257267,1.50209,-1.02302,1.55674,1
-2.8659,-3.2978,2.16482,0.767382,1.9186,-1.1166,-0.229209,0.9627,-2.44155,0.929584,-2.33428,0.963054,-2.20948,-2.05898,-2.33683,-0.61802,0.00728077,-2.17062,-1.88022,-0.552115,-0.0160101,-0.600356,0.108835,-2.41358,-1.82659,0.887941,-1.69167,1.0793,2.02354,-2.36667,-1.93975,-0.66843,-0.0309181,0
0.347937,0.207246,-0.154659,0.205155,-0.179681,0.349809,0.0955538,0.553049,-0.215222,0.600106,0.574554,0.381026,-0.177629,0.556902,0.318034,1.00005,0.129392,0.400629,0.145441,0.554147,0.0655854,0.261267,-0.365138,0.576791,-0.170903,0.14651,0.255948,-0.120901,0.225025,0.361596,0.152605,0.485162,0.432231,1
0.347937,-3.2978,-2.36586,-2.13135,1.9186,0.913227,-2.14952,0.9627,0.737509,-0.84505,-0.313329,-0.259121,-2.20948,1.00462,2.02646,-0.61802,0.00728077,1.0229,1.97278,1.08769,1.91387,-0.600356,0.108835,-1.92136,2.10658,-0.403543,-1.69167,1.0793,-1.91367,0.604403,-1.93975,0.241697,2.1043,0
0.347937,-0.26526,-2.22985,0.767382,0.328098,-1.18805,-2.14952,0.9627,-2.44155,-0.0698011,-2.33428,-0.644182,-0.188763,-2.05898,-0.902724,-1.22772,0.0802131,1.0229,-1.88022,-0.552115,-0.0160101,-0.600356,0.108835,-0.965794,1.9539,-0.279193,0.60824,-0.657153,0.054938,1.13299,0.458889,-0.66843,-0.0309181,0
0.347937,-3.2978,2.16482,-3.0798,0.079319,-0.54106,1.6911,-2.98156,1.69196,-2.61968,-2.33428,0.963054,1.83196,-2.05898,-0.667347,-0.16009,-2.00576,1.0229,1.97278,-1.06705,-1.94589,-2.25662,-1.78706,1.04394,-1.82659,-2.98649,0.0613747,1.0793,-1.91367,-2.36667,-0.62187,-0.382605,2.1043,0
